,,AUC_mean,AUC_mean,F1_mean,F1_mean,DP_mean,DP_mean,EO_mean,EO_mean
model,,vanilla,edge_adder,vanilla,edge_adder,vanilla,edge_adder,vanilla,edge_adder
dataset,encoder,,,,,,,,
bail,gat,0.9471509544712908,0.933182456156462,0.8664680807778298,0.8538606426411839,0.0714419429882704,0.0748453464096643,0.04724014336917563,0.0507778540379775
bail,gcn,0.880958921459686,0.8905054901996797,0.7734317564870532,0.7897605257071387,0.08663663577309182,0.0761141888064229,0.042970334782277096,0.0356005490734385
bail,gin,0.8450563235253602,0.8358095672124725,0.7206524294130885,0.7297574705888717,0.09414659974177073,0.0694752633334579,0.06431937771676963,0.0515244413940364
bail,sage,0.9118200769576916,0.9050175079513764,0.7982667447887564,0.8172831371299688,0.051660373886062816,0.090218146931874,0.020690154808205585,0.0817593228094257
bail,sgc,0.8924167477875429,0.8994712411187946,0.7947806004170209,0.810320806590191,0.0475660885743617,0.0711215647312891,0.027590940288263543,0.0517196675055288
german,gat,0.48048761904761905,0.4885714285714286,0.5068160597572361,0.4941176470588234,0.00726950354609929,0.0,0.007457983193277312,0.0
german,gcn,0.6526247619047619,0.613584761904762,0.6310977750439652,0.5208971043185394,0.12959629023458813,0.0297735951991271,0.11859243697478994,0.0330882352941176
german,gin,0.689272380952381,0.6802361904761904,0.7745271555276015,0.7043544183639764,0.2064648117839607,0.0902482269503546,0.17153361344537815,0.0811974789915966
german,sage,0.6419428571428571,0.7269104761904762,0.5051983820770701,0.7450860970807099,0.17024004364429896,0.0801418439716312,0.16228991596638653,0.0422268907563025
german,sgc,0.6841676190476191,0.6263580952380952,0.5912822971541456,0.4775105431189073,0.24690398254228044,0.0158892525913802,0.1917016806722689,0.0171218487394958
nba,gat,0.6626923076923077,0.7555128205128205,0.6232256910766372,0.7356014856135411,0.21036682615629987,0.2272727272727273,0.22999999999999998,0.1466666666666666
nba,gcn,0.7344871794871797,0.7335897435897436,0.6633801092086866,0.6981312266746686,0.26148325358851665,0.2371610845295056,0.18333333333333338,0.1066666666666667
nba,gin,0.5462820512820514,0.5912820512820514,0.3836128794278452,0.5291177091830594,0.07041467304625201,0.1196969696969697,0.06333333333333332,0.1133333333333333
nba,sage,0.6443589743589744,0.647948717948718,0.5263773970232042,0.5322826821047517,0.1259170653907496,0.1353269537480063,0.11333333333333331,0.1366666666666666
nba,sgc,0.7230128205128206,0.722948717948718,0.6265938416760806,0.6519804756646861,0.28516746411483257,0.2517543859649123,0.17999999999999997,0.1099999999999999
pokec_n,gat,0.7589515504453248,0.7522631139972,0.6471187689986415,0.6647507859957171,0.018610551597718114,0.0123725453392612,0.026345399127437892,0.0141924816224077
pokec_n,gcn,0.7420690890616569,0.7474275085308418,0.6502291238413604,0.6682955752087262,0.015469743788000607,0.0071939570685918,0.02155826045381199,0.0141367013964977
pokec_n,gin,0.7056698241537835,0.7341812046773174,0.5872500772914373,0.6486295239559376,0.022206409548862552,0.0211286887029343,0.036493814371376755,0.0296192999581648
pokec_n,sage,0.7283323238641818,0.7464435243381358,0.6674695243313007,0.667827938450059,0.020916711723447546,0.019577147947792,0.023621331952108703,0.0169986254158615
pokec_n,sgc,0.7568130065963017,0.7497530937747195,0.6694475483435286,0.6720952026830457,0.015498225276433852,0.0085267973453385,0.030889495388170606,0.0185501125565272
pokec_z,gat,0.7874179375620182,0.7794399206167469,0.6916895803784239,0.6964156777564907,0.041513819467236264,0.0440569834446172,0.03451428571428573,0.0440285714285714
pokec_z,gcn,0.7817367529196245,0.7697638348217694,0.7056386232030379,0.7091600344622799,0.044447194408724806,0.0342301504888061,0.02462857142857141,0.0279714285714285
pokec_z,gin,0.7358461796809403,0.7424895198839783,0.6403633284546284,0.6857430094493182,0.03630885446650992,0.0209766976396339,0.039199999999999985,0.0246857142857142
pokec_z,sage,0.7512699183268452,0.7794854438592473,0.6795441860985235,0.7137265635630669,0.023157763059490695,0.0486757576898865,0.027857142857142875,0.0551428571428571
pokec_z,sgc,0.7770754598885581,0.7676935195786581,0.7100042276442263,0.7099735682565593,0.03482844706527996,0.0400819698591958,0.03322857142857143,0.0301142857142856
