dataset,encoder,model,attack_mode,name,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,fairinv,none,fairinv_bail_gat_alpha:0.7083131234285611_lr_sp:0.4249445760094215_env_num:3_lr:0.005027423106050939,0.940794387659831,0.010725410891863235,0.9077558804831533,0.008646341021433844,0.8723540343634417,0.012498963826058708,0.07186289550341765,0.0042005630165043994,0.05069549302219171,0.006182395208207078
bail,gcn,fairinv,none,fairinv_bail_gcn_alpha:9.695926488342577_lr_sp:0.12365737759391777_env_num:2_lr:0.03714944802091645,0.8932002338730168,0.009244391445048938,0.8555202373384191,0.011974957015276727,0.8049923115062528,0.011392873176178831,0.07170905067677347,0.007959066662119896,0.0399916113780218,0.010840392873878573
bail,gin,fairinv,none,fairinv_bail_gin_alpha:0.10015343453854723_lr_sp:0.34409324132035896_env_num:3_lr:0.007302489452268529,0.8648116962528277,0.007507933835296499,0.8431235431235432,0.01930679829106155,0.784082650414357,0.014526829922961513,0.0842256752637648,0.009859127512406647,0.07345077404102798,0.01648316092762787
bail,sage,fairinv,none,fairinv_bail_sage_alpha:0.23867930949609392_lr_sp:0.10353857191922805_env_num:2_lr:0.038706541325513384,0.9269113915138381,0.008166299640064906,0.8913541004450096,0.005180348183454717,0.8466320584885624,0.006103808368788735,0.023689012028652534,0.012038531670060972,0.01468085106382977,0.011642809041376736
bail,sgc,fairinv,none,fairinv_bail_sgc_alpha:0.34347503157349296_lr_sp:0.0539713867115136_env_num:3_lr:0.03451478514593202,0.9049229275146706,0.009057369893886983,0.8815638906547998,0.00846547827191661,0.8342799027222144,0.009252558122660208,0.049306476148300665,0.00706284396774998,0.03399374666361628,0.009010653112678586
german,gat,fairinv,none,fairinv_german_gat_alpha:1.5826976841976583_lr_sp:0.04020489337732986_env_num:3_lr:0.009722124706449734,0.49678476190476184,0.05714448556409872,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gcn,fairinv,none,fairinv_german_gcn_alpha:5.279787544185225_lr_sp:0.44547780397619663_env_num:3_lr:0.046697478981235566,0.5444914285714286,0.07344940809913568,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gin,fairinv,none,fairinv_german_gin_alpha:0.3582237045681294_lr_sp:0.04598011742371904_env_num:2_lr:0.0009514248911239895,0.6812723809523809,0.016079477885500345,0.7132,0.0232585468161706,0.8225109130858812,0.025862397620941432,0.022081287506819435,0.02061383386228441,0.02415966386554621,0.02207882246690969
german,sage,fairinv,none,fairinv_german_sage_alpha:0.10082725621039627_lr_sp:0.061472798994960824_env_num:2_lr:0.008201004718092262,0.7202895238095237,0.020742423013516413,0.7156,0.013320660644277381,0.8261443356077928,0.0054309089046316395,0.07201309328968902,0.06357843086184936,0.03928571428571429,0.036810295862781964
german,sgc,fairinv,none,fairinv_german_sgc_alpha:9.041276680376722_lr_sp:0.08131876979429607_env_num:3_lr:0.03944044252808415,0.6901409523809523,0.014304970387168891,0.7139999999999999,0.01120714058089753,0.8184511306996936,0.005981454264013225,0.23666121112929622,0.09285421967034549,0.17373949579831932,0.06076696560193635
nba,gat,fairinv,none,fairinv_nba_gat_alpha:0.8526871421068579_lr_sp:0.0268922723361067_env_num:2_lr:0.0009049882953140072,0.7493589743589744,0.043952113682653664,0.7151898734177216,0.04710833940741368,0.7539021847374598,0.04970389059928274,0.21363636363636368,0.05160722017932505,0.12,0.09092121131323905
nba,gcn,fairinv,none,fairinv_nba_gcn_alpha:5.571126003733956_lr_sp:0.09190711757365251_env_num:2_lr:0.00310564104148203,0.750448717948718,0.021221821631200313,0.669620253164557,0.020761037299818635,0.6891434154634521,0.015394157433016798,0.1649920255183413,0.05469523676896229,0.053333333333333344,0.03055050463303895
nba,gin,fairinv,none,fairinv_nba_gin_alpha:2.091328189191946_lr_sp:0.4797415018254441_env_num:3_lr:0.017484901780878283,0.6217948717948718,0.024650749168788188,0.5544303797468355,0.029847661069750876,0.6229225364023989,0.02388083727152919,0.24401913875598086,0.031163800910245527,0.25333333333333335,0.06182412330330469
nba,sage,fairinv,none,fairinv_nba_sage_alpha:4.9970711220718025_lr_sp:0.011457678304076053_env_num:2_lr:0.049871320906221345,0.6563461538461539,0.0454391331978562,0.5835443037974682,0.044735688726765276,0.6699832612292663,0.04169919852731487,0.0598086124401914,0.07409404997962754,0.07333333333333333,0.07423685817106696
nba,sgc,fairinv,none,fairinv_nba_sgc_alpha:0.3385052805353091_lr_sp:0.03131573438415172_env_num:3_lr:0.006110300403586934,0.7328846153846154,0.004348119969772209,0.679746835443038,0.012721361545722664,0.6690351176715823,0.013444757450193122,0.2164274322169059,0.019383732519339884,0.07999999999999999,0.030550504633038947
pokec_n,gat,fairinv,none,fairinv_pokec_n_gat_alpha:1.3280975665038282_lr_sp:0.10200686244487371_env_num:2_lr:0.001672508228638436,0.753854972380262,0.009154154663268155,0.6972272727272727,0.007019600657332999,0.6551717847067273,0.013577173626315851,0.008980073230108947,0.009762847568904892,0.021350279897205015,0.013905564643916703
pokec_n,gcn,fairinv,none,fairinv_pokec_n_gcn_alpha:1.1700532075714782_lr_sp:0.06577948849920591_env_num:2_lr:0.002288663397132386,0.7665866951965816,0.003057282799618409,0.7049999999999998,0.002867601871924985,0.669746658256194,0.004078868040425515,0.006615736162432262,0.005567487702506328,0.04112755742375044,0.011640816723078965
pokec_n,gin,fairinv,none,fairinv_pokec_n_gin_alpha:0.688359131156283_lr_sp:0.06491009070249211_env_num:2_lr:0.0003758358053833037,0.7187336788696592,0.04173628327511994,0.6409545454545456,0.06023008569760212,0.6469709792030875,0.02021010852275175,0.020342599622176705,0.01712044150766628,0.03986094786541028,0.0160340145323001
pokec_n,sage,fairinv,none,fairinv_pokec_n_sage_alpha:6.338976406443088_lr_sp:0.2589052037257083_env_num:3_lr:0.0003051452277196578,0.7712637643601123,0.00199263284809276,0.6996818181818182,0.004467744822799631,0.6656950555489674,0.006535689761719098,0.03527175542152136,0.010744959628970218,0.011555272227423951,0.01025916966726592
pokec_n,sgc,fairinv,none,fairinv_pokec_n_sgc_alpha:1.2933027000990915_lr_sp:0.024690153734797604_env_num:2_lr:0.00017569386632388254,0.7469877688745907,0.007848043567207882,0.703,0.007995866700834924,0.6616424906917415,0.008125069582473254,0.015355724452338343,0.00759898297520309,0.0547315576628085,0.008379029761004771
pokec_z,gat,fairinv,none,fairinv_pokec_z_gat_alpha:5.257586649555395_lr_sp:0.17719146984613968_env_num:2_lr:0.001403651031718155,0.7806957026181207,0.005645057491211998,0.7078332034294623,0.004172098989894334,0.7122964215765692,0.006895242971150512,0.043960271385605355,0.009078124586986511,0.036971428571428544,0.009813110763521583
pokec_z,gcn,fairinv,none,fairinv_pokec_z_gcn_alpha:2.723658240065334_lr_sp:0.012446452989280203_env_num:2_lr:0.045995030643749456,0.6476180444240897,0.10917935333831108,0.6021434138737334,0.07568304886194148,0.6452676871951034,0.1412240198977139,0.02522557179827935,0.0249399278735951,0.021057142857142875,0.02234207159744382
pokec_z,gin,fairinv,none,fairinv_pokec_z_gin_alpha:2.4740327556572925_lr_sp:0.01317275673487784_env_num:2_lr:0.03537155514139165,0.7449497290283184,0.012260362277288286,0.6599376461418551,0.026156124291706447,0.6866914292682773,0.02780790599626196,0.0379664103819521,0.017854610152799783,0.03165714285714285,0.013060487224089742
pokec_z,sage,fairinv,none,fairinv_pokec_z_sage_alpha:1.6955531754958495_lr_sp:0.31430337116612733_env_num:2_lr:0.026848291904081768,0.7854919166475842,0.0034134055257315312,0.7105222135619641,0.003476087781913919,0.7045616733914601,0.011705556209891778,0.056991246146313644,0.010924408685730554,0.05194285714285718,0.012269624014996865
pokec_z,sgc,fairinv,none,fairinv_pokec_z_sgc_alpha:4.118282221383312_lr_sp:0.057215122301786936_env_num:3_lr:0.02526806483086509,0.7783813144034807,0.000988551500278732,0.7111457521434138,0.0025123556447834853,0.7185269294902135,0.003004310844265876,0.051038813952362275,0.00397515368372544,0.045142857142857096,0.0049602501582735594
