dataset,encoder,attack_mode,AUC_std_clean,AUC_std_attacked,AUC_std_defended,F1_std_clean,F1_std_attacked,F1_std_defended,DP_std_clean,DP_std_attacked,DP_std_defended,EO_std_clean,EO_std_attacked,EO_std_defended
bail,gat,degree,0.0104810084228694,0.0077053295146812,,0.0172379752365218,0.0160702252674413,,0.0037047198496622,0.005306487058884,,0.0096221831340051,0.0126767939137034,
bail,gat,uncertainty,0.0104810084228694,0.0096430118458662,,0.0172379752365218,0.018826734280921,,0.0037047198496622,0.0044981767389597,,0.0096221831340051,0.0086275267181834,
bail,gcn,degree,0.0013609024549648,0.0057563138625012,,0.006611186952455,0.0076875251803081,,0.0028369074279794,0.0051783423308597,,0.0037946100700477,0.0048170245222191,
bail,gcn,uncertainty,0.0013609024549648,0.0130969023830356,,0.006611186952455,0.0109573891662641,,0.0028369074279794,0.0078638254909304,,0.0037946100700477,0.0115049793414062,
bail,gin,degree,0.0104898751338443,0.0059279678259834,,0.018288231266226,0.021673136297478,,0.012848756758887,0.0062680444926201,,0.009313402030678,0.0092101090107057,
bail,gin,uncertainty,0.0104898751338443,0.0101925445629819,,0.018288231266226,0.0289432605862135,,0.012848756758887,0.0167087509519088,,0.009313402030678,0.0089797273831085,
bail,sage,degree,0.0058056492434387,0.0083486284749182,,0.0164366625858244,0.0210929590787326,,0.0192734670412319,0.022469064131335,,0.0093271903480594,0.0142588785745811,
bail,sage,uncertainty,0.0058056492434387,0.0043299543376761,,0.0164366625858244,0.0153247558507396,,0.0192734670412319,0.0221005661498778,,0.0093271903480594,0.0083409945549474,
bail,sgc,degree,0.0015636559472076,0.0047931328604541,,0.005932931051207,0.0039147579231188,,0.0038570871841986,0.00593023495836,,0.0061663158182481,0.0053992639381131,
bail,sgc,uncertainty,0.0015636559472076,0.0040355859266763,,0.005932931051207,0.0097523919890012,,0.0038570871841986,0.0054808965808219,,0.0061663158182481,0.0072979580421001,
german,gat,degree,0.0289083778392536,0.026974262966484,,0.171487562305505,0.1094714358661297,,0.0462395735637986,0.0929983768907413,,0.0380856627496861,0.1128162996981343,
german,gat,uncertainty,0.0289083778392536,0.0424535474988615,,0.171487562305505,0.1175947027812811,,0.0462395735637986,0.1451453612070239,,0.0380856627496861,0.1579284627730517,
german,gcn,degree,0.0117600413407267,0.0153308585994661,,0.0689067877678036,0.1278417287043635,,0.0914229732964241,0.098309802349562,,0.09350840100138,0.0940395365396734,
german,gcn,uncertainty,0.0117600413407267,0.0126300761870147,,0.0689067877678036,0.1412580288669804,,0.0914229732964241,0.1002702538733612,,0.09350840100138,0.1096268833131152,
german,gin,degree,0.026715822992862,0.0195391304346071,,0.2247602965699149,0.1060344589542926,,0.104912902149251,0.0921341790856968,,0.1085372276178565,0.1180973151649231,
german,gin,uncertainty,0.026715822992862,0.0207262407537477,,0.2247602965699149,0.1535192246078207,,0.104912902149251,0.1248439294092457,,0.1085372276178565,0.1281908603921785,
german,sage,degree,0.0724812361925484,0.0673169400398334,,0.3285433845160603,0.2786519645174743,,0.0798887310748484,0.1071936437125518,,0.065301082899637,0.1062068295013257,
german,sage,uncertainty,0.0724812361925484,0.0750292556696999,,0.3285433845160603,0.3216006483852733,,0.0798887310748484,0.0703779188553795,,0.065301082899637,0.0603695579634769,
german,sgc,degree,0.0118986230267191,0.0185497195705251,,0.1858095104731201,0.1696694758878121,,0.0796849540971497,0.0902758786279839,,0.0572123280129488,0.0743385848396425,
german,sgc,uncertainty,0.0118986230267191,0.0361785692693397,,0.1858095104731201,0.1641862989814379,,0.0796849540971497,0.1047414523456991,,0.0572123280129488,0.0756693409723825,
nba,gat,degree,0.0555116361572008,0.0595872555639293,,0.040011335095956,0.0556503593441487,,0.0700386970635225,0.1100410568138448,,0.0933333333333333,0.1673652028084426,
nba,gat,uncertainty,0.0555116361572008,0.0359208371526729,,0.040011335095956,0.0351926556747554,,0.0700386970635225,0.0673824353506138,,0.0933333333333333,0.0597215762238963,
nba,gcn,degree,0.0071442012917683,0.0232698488298224,,0.0177364722640478,0.021814818514024,,0.0354802603792222,0.0775058903772747,,0.0599999999999999,0.0822597511950204,
nba,gcn,uncertainty,0.0071442012917683,0.0116687797466489,,0.0177364722640478,0.0212893634065538,,0.0354802603792222,0.0771103925031246,,0.0599999999999999,0.1291424708520701,
nba,gin,degree,0.0111562405328626,0.059249081418324,,0.0703921218308164,0.2197884863517046,,0.063160160173956,0.0550533287121385,,0.0715697018452796,0.077817450199525,
nba,gin,uncertainty,0.0111562405328626,0.0605851981866547,,0.0703921218308164,0.2363224555932661,,0.063160160173956,0.07321668617565,,0.0715697018452796,0.0849182613523799,
nba,sage,degree,0.0187272763903174,0.0245458419359473,,0.0350280968097535,0.0740171914387735,,0.0452989867333081,0.0761621447860147,,0.0578311719096582,0.0760847480700888,
nba,sage,uncertainty,0.0187272763903174,0.0249750039404951,,0.0350280968097535,0.0424882972211174,,0.0452989867333081,0.0521307303625637,,0.0578311719096582,0.0702376916856849,
nba,sgc,degree,0.0027764625420138,0.0202447426637802,,0.0164319042886373,0.0398681676050758,,0.0350608857812209,0.0876656353182917,,0.065319726474218,0.1145522685162638,
nba,sgc,uncertainty,0.0027764625420138,0.0214849763266812,,0.0164319042886373,0.0432229451892812,,0.0350608857812209,0.0535787850964702,,0.065319726474218,0.054670731556189,
pokec_n,gat,degree,0.00438513496165,0.0056765539807759,,0.0117440293331574,0.0232983941394099,,0.008924661296802,0.0108436960793095,,0.0083455432421066,0.0161640994757404,
pokec_n,gat,uncertainty,0.00438513496165,0.0059540140268123,,0.0117440293331574,0.011723305179243,,0.008924661296802,0.0091513810547654,,0.0083455432421066,0.0149062546224002,
pokec_n,gcn,degree,0.0113039678216091,0.0043378590587058,,0.0868458433430109,0.009239568654363,,0.0135130528937317,0.0395074422479332,,0.0146343308046904,0.0293580073727851,
pokec_n,gcn,uncertainty,0.0113039678216091,0.0047938250216097,,0.0868458433430109,0.0349597906040193,,0.0135130528937317,0.0257212960881768,,0.0146343308046904,0.0335107986303352,
pokec_n,gin,degree,0.0104955556973937,0.0124102574665769,,0.0152391429747249,0.0113391722793071,,0.0214275262777281,0.0840983447299377,,0.0146532030463013,0.0669153786063392,
pokec_n,gin,uncertainty,0.0104955556973937,0.0166116957585515,,0.0152391429747249,0.025127282293248,,0.0214275262777281,0.0191948909938835,,0.0146532030463013,0.0226747082493444,
pokec_n,sage,degree,0.0060958827522641,0.0088915312812995,,0.0079454608348464,0.0161721314334414,,0.0127810170262847,0.0133876724782504,,0.0137582631216406,0.0212990852807461,
pokec_n,sage,uncertainty,0.0060958827522641,0.0070409793912474,,0.0079454608348464,0.0115601725302607,,0.0127810170262847,0.0121501199401612,,0.0137582631216406,0.0202617286467239,
pokec_n,sgc,degree,0.0008759590407647,0.0039224450410032,,0.0123396104816454,0.0107364139030514,,0.0063127510050203,0.0150808025558494,,0.0080059782131513,0.0367025167912061,
pokec_n,sgc,uncertainty,0.0008759590407647,0.0035225383979851,,0.0123396104816454,0.0133109162140273,,0.0063127510050203,0.0202848729186852,,0.0080059782131513,0.024954157714493,
pokec_z,gat,degree,0.0025949739858483,0.003133666820702,,0.0290215243026834,0.0175371645443562,,0.0099681419399851,0.0125482697647272,,0.0132296512981026,0.0074584016452615,
pokec_z,gat,uncertainty,0.0025949739858483,0.0028808314159389,,0.0290215243026834,0.0190225175161252,,0.0099681419399851,0.0208980002017214,,0.0132296512981026,0.0174375620838628,
