dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,degree,0.9418414017993528,0.9421040306361408,0.9154704876895244,0.8669837989374753,0.8683969412548818,0.8127656234413154,0.0750779288748048,0.0741669554252587,0.0675769871144174,0.0521947685502935,0.0460870891481735,0.0535277968428277
bail,gat,uncertainty,0.9418414017993528,0.9402414838385786,0.915142943019472,0.8669837989374753,0.8653820664222541,0.8226958503859082,0.0750779288748048,0.0708327821758546,0.0710762559920403,0.0521947685502935,0.0432845268054602,0.0598177381224738
bail,gcn,degree,0.9047864952108072,0.9065794578982652,0.9145403813599532,0.8086452184190863,0.8110257817512911,0.8273438098466555,0.0624292421632595,0.0615054902473882,0.0529245434259373,0.032345001143903,0.0369663692518874,0.0330138030961641
bail,gcn,uncertainty,0.9047864952108072,0.9016646616034996,0.914426343392322,0.8086452184190863,0.8043256775877079,0.8328232796152012,0.0624292421632595,0.0638063510595163,0.0450027569855615,0.032345001143903,0.0384557309540151,0.0280736673530084
bail,gin,degree,0.8535745416670493,0.8509983990106316,0.858302205110309,0.7442040466355178,0.746323986070718,0.7477365031776351,0.0943118571227279,0.0944258568581723,0.1104966024735947,0.0624449020056432,0.0655189506596507,0.0762884160756501
bail,gin,uncertainty,0.8535745416670493,0.8662007955968202,0.8518532580745883,0.7442040466355178,0.7517598777984953,0.7453434184802679,0.0943118571227279,0.0893150813939779,0.1120439111955899,0.0624449020056432,0.0678860672614962,0.08566537024327
bail,sage,degree,0.915550967634301,0.9162253136163686,0.9176422791292822,0.8260085136502611,0.8240112767039012,0.8283554598076552,0.0243741606830135,0.0231315941199644,0.0175608837306939,0.0140334019675131,0.0190429344924883,0.0155875848394722
bail,sage,uncertainty,0.915550967634301,0.9170736772705428,0.9187546300122752,0.8260085136502611,0.8202287054861117,0.8316817797403436,0.0243741606830135,0.0381166194109037,0.0270903845545545,0.0140334019675131,0.0195927705330588,0.0154869213757339
bail,sgc,degree,0.88765248428857,0.8865173851221252,0.8971887885592015,0.7873150039795429,0.7878835658113761,0.8008354754870476,0.0437672356528915,0.0417587159564403,0.0323775963111748,0.0236879432624113,0.0247708380995957,0.0216784869976359
bail,sgc,uncertainty,0.88765248428857,0.8869768468774586,0.8991823627909256,0.7873150039795429,0.7852068362215704,0.801110431215341,0.0437672356528915,0.0440866613659695,0.0346171528354895,0.0236879432624113,0.0252352627163882,0.0239624799816975
