dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,vanilla,0.0,0.0,0.9442600092447188,0.007854887279556,0.8686141578258357,0.014188861429120977,0.07560885527946559,0.006878711494592057,0.051101959887134916,0.00873618023320245
bail,gat,edge_adder,0.0,0.1,0.9175139302146181,0.010918268835291931,0.8276553067960704,0.015581104721825145,0.06874822071987878,0.007841523619964135,0.053866392129947385,0.009499295242693632
bail,gat,edge_adder,0.0,0.5,0.9200009451347373,0.008742860416867443,0.8352648545490409,0.01130890520858145,0.06790870603560573,0.006932031918614975,0.05568901090520858,0.012238267300744158
bail,gat,edge_adder,0.0,1.0,0.9173537260502093,0.00623054096075688,0.8274458208870769,0.015500566060600095,0.06773433658372464,0.006231419016217021,0.053852665293983096,0.013368082857567474
bail,gat,edge_adder,0.0,5.0,0.9158198144627807,0.008518740970727332,0.8193785846215755,0.016736510970348405,0.06686831242289788,0.007294431095504365,0.057742698085868994,0.00957846494355898
bail,gat,edge_adder,0.0,10.0,0.9158879062548788,0.01005168598577359,0.8231683788802302,0.021707291279365486,0.0693434528242747,0.004297660105828255,0.05809807061694502,0.009192623633082063
bail,gat,edge_adder,0.1,0.0,0.9205297901112122,0.009209154876511144,0.8362511647498556,0.015070439054809287,0.0689311990119424,0.005334130867669471,0.058553344009761296,0.0063869658319194
bail,gat,edge_adder,0.5,0.0,0.9230415622044064,0.01213385730241881,0.8324036181819245,0.02189342598869495,0.0684489961265611,0.0046887637624812885,0.05730038892701898,0.010432873509047045
bail,gat,edge_adder,1.0,0.0,0.9176262080122937,0.01216768923911735,0.8287442749478531,0.016965565600719636,0.06806623523017777,0.006547509679130671,0.05587356058872871,0.009458902180281246
bail,gat,edge_adder,5.0,0.0,0.9155807470314352,0.00895736348710464,0.8233520330793439,0.01570831500164692,0.07400495107159392,0.009873980055325374,0.056826050484252245,0.010967155996311383
bail,gat,edge_adder,10.0,0.0,0.9051504964444567,0.012130865108939006,0.7965462002182029,0.021695579763719126,0.07735724062768687,0.010102451849321615,0.05530160909021583,0.012728899262475678
bail,gcn,vanilla,0.0,0.0,0.9021791956329418,0.0019612289940820443,0.8058109648871771,0.00948416969411712,0.06152425356503035,0.0017032181366430765,0.032868908716540836,0.0041861868867609725
bail,gcn,edge_adder,0.0,0.1,0.899685981853413,0.0010595043663308504,0.8143383082802609,0.00631989452600692,0.079436949501514,0.005103260239600924,0.04790818271943875,0.0026793862482714223
bail,gcn,edge_adder,0.0,0.5,0.9036769663394282,0.0011960972736333557,0.8146974411601627,0.008266414955332478,0.07745619735846994,0.0021991132091340516,0.04692518874399452,0.002508019429539253
