dataset,encoder,model,attack_mode,AUC_mean_clean,AUC_std_clean,F1_mean_clean,F1_std_clean,ACC_mean_clean,ACC_std_clean,DP_mean_clean,DP_std_clean,EO_mean_clean,EO_std_clean,AUC_mean_attacked,AUC_std_attacked,F1_mean_attacked,F1_std_attacked,ACC_mean_attacked,ACC_std_attacked,DP_mean_attacked,DP_std_attacked,EO_mean_attacked,EO_std_attacked,AUC_mean_defended,AUC_std_defended,F1_mean_defended,F1_std_defended,ACC_mean_defended,ACC_std_defended,DP_mean_defended,DP_std_defended,EO_mean_defended,EO_std_defended
bail,gat,vanilla,uncertainty,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051,0.9402414838385786,0.0096430118458662,0.8653820664222541,0.018826734280921,0.9007204916295825,0.0148216128912967,0.0708327821758546,0.0044981767389597,0.0432845268054602,0.0086275267181834,0.9179188840981654,0.0099678748559417,0.8277654640402602,0.0204244950886674,0.8819665183301547,0.0103371781941145,0.0685305195066613,0.0071839370953571,0.0539540913597193,0.0118266529712011
bail,gcn,vanilla,uncertainty,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477,0.9016646616034996,0.0130969023830356,0.8043256775877079,0.0109573891662641,0.8487391396482306,0.0102261554223289,0.0638063510595163,0.0078638254909304,0.0384557309540151,0.0115049793414062,0.9014689192250354,0.008978588074786,0.8149580845837978,0.0170542080232602,0.8590379317652046,0.0157808560446926,0.0717590682179593,0.0076832442187918,0.043849614885991,0.0055973355452036
bail,gin,vanilla,uncertainty,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678,0.8662007955968202,0.0101925445629819,0.7517598777984953,0.0289432605862135,0.7969908878999789,0.0380588163943948,0.0893150813939779,0.0167087509519088,0.0678860672614962,0.0089797273831085,0.8539971929115658,0.0170141916907304,0.7427688563457382,0.0283132339119169,0.7923712650985377,0.0313668433493636,0.102355964578307,0.0083860636962449,0.0727987493327232,0.0152239589165479
bail,sage,vanilla,uncertainty,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594,0.9170736772705428,0.0043299543376761,0.8202287054861117,0.0153247558507396,0.8671752489934308,0.0187847288048973,0.0381166194109037,0.0221005661498778,0.0195927705330588,0.0083409945549474,0.917640480694762,0.0076645347938038,0.8306060411526628,0.0082846908186287,0.8771561771561773,0.0095425326124852,0.0226509728169131,0.0191997551217118,0.0176725387020513,0.0209863209872983
bail,sgc,vanilla,uncertainty,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481,0.8869768468774586,0.0040355859266763,0.7852068362215704,0.0097523919890012,0.8328035600762874,0.0108509151214173,0.0440866613659695,0.0054808965808219,0.0252352627163882,0.0072979580421001,0.8917356002791783,0.0021888524943079,0.8007649895122979,0.006585136474731,0.8491841491841491,0.0076645869421834,0.0694872150635652,0.0032960543900018,0.0433432471593075,0.0057691143065007
german,gat,vanilla,uncertainty,0.566487619047619,0.0289083778392536,0.5521472116887732,0.171487562305505,0.5187999999999999,0.0837529700965882,0.0612656846699399,0.0462395735637986,0.0763655462184873,0.0380856627496861,0.5735657142857142,0.0424535474988615,0.590143332592707,0.1175947027812811,0.536,0.0729712272063448,0.1928259683578832,0.1451453612070239,0.1826680672268907,0.1579284627730517,0.5686628571428571,0.0207843108455456,0.5904675266657472,0.1754898072231694,0.5428000000000001,0.0870503302693332,0.130469176213857,0.0774991487647271,0.1126050420168067,0.0701815892973945
german,gcn,vanilla,uncertainty,0.7426971428571428,0.0117600413407267,0.7603773916005582,0.0689067877678036,0.69,0.0502553479741211,0.320430987452264,0.0914229732964241,0.2581932773109243,0.09350840100138,0.7360228571428571,0.0126300761870147,0.6745598108747133,0.1412580288669804,0.6300000000000001,0.0948303748806256,0.255646481178396,0.1002702538733612,0.1977941176470588,0.1096268833131152,0.7278857142857145,0.0227178294130981,0.6656166836165149,0.1130633546575391,0.6215999999999999,0.0787339824980294,0.2509819967266776,0.0790136186458211,0.1948529411764706,0.0852074657123455
german,gin,vanilla,uncertainty,0.6833980952380952,0.026715822992862,0.6241708656045063,0.2247602965699149,0.5971999999999998,0.1152673414285243,0.2503818876159301,0.104912902149251,0.228781512605042,0.1085372276178565,0.6806704761904763,0.0207262407537477,0.6221709338669876,0.1535192246078207,0.5808,0.085954406518805,0.2199399890889252,0.1248439294092457,0.203781512605042,0.1281908603921785,0.6843276190476191,0.0327252916123158,0.6146254393158121,0.2764200580578458,0.5952,0.1424337038765754,0.2159710856519367,0.1583184261240858,0.1887605042016807,0.151187577249529
german,sage,vanilla,uncertainty,0.6255085714285715,0.0724812361925484,0.5717136659433394,0.3285433845160603,0.574,0.1763383112088805,0.0828423349699945,0.0798887310748484,0.0503151260504201,0.065301082899637,0.6055238095238095,0.0750292556696999,0.4756987764982993,0.3216006483852733,0.5179999999999999,0.1700470523119998,0.069899072558647,0.0703779188553795,0.0570378151260504,0.0603695579634769,0.6139352380952381,0.0567324072923774,0.7178149589074582,0.1223238078382951,0.6327999999999998,0.0853379165435856,0.1875886524822695,0.1021508437053334,0.184453781512605,0.1222214309049172
german,sgc,vanilla,uncertainty,0.6979123809523808,0.0118986230267191,0.6348553159630883,0.1858095104731201,0.5972000000000001,0.1173855186980063,0.2471085651936716,0.0796849540971497,0.1836134453781512,0.0572123280129488,0.6808990476190477,0.0361785692693397,0.6007741295682549,0.1641862989814379,0.5732,0.0980457036284609,0.2216721222040371,0.1047414523456991,0.1762605042016806,0.0756693409723825,0.7008609523809524,0.0156429197360493,0.6609327980287036,0.1872015168720283,0.6184,0.103029316216308,0.2477905073649754,0.0780833446434284,0.190126050420168,0.0601424027467238
