method,dataset,encoder,model,timestamp,n_seeds,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std,dp_mean,dp_std,eo_mean,eo_std,name
edge_adder,bail,gat,edge_adder,20260205-123430,10,0.9012138380735476,0.0154207798860318,0.7950149488812073,0.0169782159816766,0.8360881542699724,0.0207219236691467,0.0592035870287243,0.0112445268421998,0.0341653321131701,0.0181388582616084,edge_adder_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0077461047764892125
edge_adder,bail,gcn,edge_adder,20260205-123448,10,0.8945493945780643,0.0043065890166381,0.7980160695466771,0.0075696050673816,0.8456664547573638,0.0074506840763502,0.0745839899296339,0.004044627117384,0.0313612445664607,0.0041951791562836,edge_adder_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005062309938444872
edge_adder,bail,gin,edge_adder,20260205-123500,10,0.838960405359488,0.0067303716091903,0.72765974177105,0.0144897345182784,0.7806950625132443,0.01644270086116,0.0754331199155722,0.0107578315489315,0.0583421032563105,0.0078793544138984,edge_adder_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020823316882860616
edge_adder,bail,sage,edge_adder,20260205-123509,10,0.9022634446372978,0.0046662538994899,0.8031027042664943,0.0123560549784626,0.8524687433778343,0.0135740438813306,0.1033906788726481,0.0312170023788902,0.0851849309845192,0.0221614484182354,edge_adder_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001108189378494277
edge_adder,bail,sgc,edge_adder,20260205-123521,10,0.8969896980313645,0.0017924914809192,0.8025192777789367,0.0077825380189963,0.8501801229073956,0.0109919461371498,0.0605933306110946,0.002838181931571,0.0311126363151071,0.0086584957693351,edge_adder_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010293634452337637
edge_adder,german,gat,edge_adder,20260205-134546,10,0.6136838095238095,0.0485078075956069,0.672028897680996,0.2278486240214777,0.6115999999999999,0.1093025159820211,0.0605973813420621,0.0583786807262412,0.0743697478991596,0.0733909260101002,edge_adder_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010188481328150471
edge_adder,german,gcn,edge_adder,20260205-164407,10,0.5377904761904762,0.0386005082621361,0.3473762292972996,0.3489938680089087,0.448,0.1591678359468394,0.0270867430441898,0.0413794597683672,0.0217436974789916,0.0470420560238937,edge_adder_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0008574578427195729
edge_adder,german,gin,edge_adder,20260205-163901,10,0.6274209523809523,0.0366854009777453,0.5318506982713345,0.1998219682563542,0.5224000000000001,0.0950149461926911,0.03310147299509,0.0244794291733376,0.048844537815126,0.047650768496377,edge_adder_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005997302838647427
edge_adder,german,sage,edge_adder,20260205-162344,10,0.7214400000000001,0.0251789512928679,0.7759333619602332,0.0251815277576579,0.6871999999999999,0.0287221169136259,0.0544189852700491,0.0439795921175718,0.0262605042016806,0.0179188257449915,edge_adder_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005335063533975847
edge_adder,german,sgc,edge_adder,20260205-163716,10,0.5432228571428572,0.0345273651239655,0.6325964716050637,0.3204245843064458,0.5963999999999999,0.1550891356607547,0.0229405346426623,0.0459491724148084,0.0197478991596638,0.0400396138847107,edge_adder_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002265390407383132
