method,dataset,encoder,model,timestamp,n_seeds,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name
edge_adder,bail,gat,edge_adder,20260205-123430,10,0.9012138380735475,0.01542077988603185,0.7950149488812073,0.01697821598167662,0.8360881542699724,0.02072192366914672,0.05920358702872439,0.01124452684219989,0.03416533211317015,0.018138858261608454,edge_adder_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0077461047764892125
edge_adder,bail,gcn,edge_adder,20260205-123448,10,0.8945493945780643,0.004306589016638107,0.7980160695466771,0.0075696050673816975,0.8456664547573638,0.007450684076350207,0.07458398992963398,0.004044627117384053,0.031361244566460736,0.0041951791562836694,edge_adder_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005062309938444872
edge_adder,bail,gin,edge_adder,20260205-123500,10,0.838960405359488,0.006730371609190386,0.72765974177105,0.014489734518278402,0.7806950625132443,0.016442700861160075,0.07543311991557226,0.01075783154893157,0.05834210325631052,0.007879354413898454,edge_adder_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020823316882860616
edge_adder,bail,sage,edge_adder,20260205-123509,10,0.9022634446372978,0.00466625389948999,0.8031027042664943,0.012356054978462623,0.8524687433778343,0.013574043881330683,0.10339067887264812,0.031217002378890298,0.0851849309845192,0.0221614484182354,edge_adder_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001108189378494277
edge_adder,bail,sgc,edge_adder,20260205-123521,10,0.8969896980313645,0.0017924914809192326,0.8025192777789367,0.007782538018996371,0.8501801229073956,0.010991946137149808,0.060593330611094655,0.002838181931571092,0.031112636315107123,0.008658495769335127,edge_adder_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010293634452337637
edge_adder,german,gat,edge_adder,20260205-134546,10,0.6136838095238095,0.04850780759560699,0.672028897680996,0.2278486240214777,0.6115999999999999,0.10930251598202119,0.06059738134206218,0.0583786807262412,0.07436974789915968,0.07339092601010028,edge_adder_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010188481328150471
edge_adder,german,gcn,edge_adder,20260205-164407,10,0.5377904761904762,0.03860050826213613,0.3473762292972996,0.3489938680089087,0.44800000000000006,0.15916783594683945,0.027086743044189853,0.04137945976836728,0.0217436974789916,0.04704205602389375,edge_adder_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0008574578427195729
edge_adder,german,gin,edge_adder,20260205-163901,10,0.6274209523809523,0.03668540097774533,0.5318506982713345,0.19982196825635426,0.5224000000000001,0.09501494619269117,0.03310147299509002,0.024479429173337636,0.04884453781512606,0.047650768496377026,edge_adder_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005997302838647427
edge_adder,german,sage,edge_adder,20260205-162344,10,0.7214400000000001,0.025178951292867915,0.7759333619602332,0.0251815277576579,0.6871999999999999,0.02872211691362597,0.054418985270049125,0.04397959211757183,0.026260504201680634,0.017918825744991578,edge_adder_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005335063533975847
edge_adder,german,sgc,edge_adder,20260205-163716,10,0.5432228571428572,0.03452736512396551,0.6325964716050637,0.3204245843064458,0.5963999999999999,0.15508913566075477,0.022940534642662314,0.04594917241480846,0.01974789915966386,0.04003961388471072,edge_adder_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002265390407383132
