dataset,encoder,model,attack_mode,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,edge_adder,none,0.9120515488730321,0.009109049363654396,0.8218409453103762,0.018959216810474487,0.8769866497139225,0.011720806792014198,0.06748250554272714,0.0037357269021711117,0.05658659345687485,0.008085703092347112
bail,gat,edge_adder,uncertainty,0.9127873668775809,0.00672062118596295,0.8240867020653819,0.009872757007876992,0.8747616020343292,0.009433653808798235,0.0705987259635431,0.007469211545356991,0.053570502554716695,0.011083892109701914
bail,gat,edge_adder,ratio,1.0008067723863394,0.7377961099627581,1.00273259292789,0.5207365423672218,0.9974628488582817,0.8048638610121719,1.046178196789728,1.9993997797365946,0.9466995498773619,1.370801275178222
bail,gcn,edge_adder,none,0.9097743768233064,0.005377929223931627,0.8181029148905058,0.03872872955279434,0.8556473829201101,0.0476324600451498,0.04223142934784173,0.004241844442453293,0.02662167314878363,0.0036416771885972366
bail,gcn,edge_adder,uncertainty,0.909290731863362,0.008449127383447773,0.8293874968528154,0.015795615984659155,0.8712862894681075,0.013600945911551896,0.04030189890525747,0.00713080020261643,0.02534431480210477,0.007955708931867714
bail,gcn,edge_adder,ratio,0.9994683902160081,1.5710744845524192,1.0137935970608538,0.4078526759605383,1.018277279706771,0.28553943883351496,0.9543105579806082,1.6810612221537042,0.9520181042138134,2.184627719551449
bail,gin,edge_adder,none,0.8590444802600766,0.01189545563695065,0.7398315609168932,0.029301302903547887,0.7832803560076287,0.03441827869472036,0.12374030561921825,0.017147840530769804,0.07688553344009763,0.011736108783562436
bail,gin,edge_adder,uncertainty,0.859009162067266,0.014683437823727236,0.745306561079645,0.026626919290484132,0.7899131171858444,0.028947183077625158,0.10319269352097607,0.01969551336214262,0.07000610081598412,0.014644580941729182
bail,gin,edge_adder,ratio,0.9999588866541579,1.2343737198360294,1.0074003333352886,0.9087281674174313,1.0084679273868464,0.8410409868075579,0.8339456816805298,1.148571059242201,0.910523705613965,1.2478225288981937
bail,sage,edge_adder,none,0.9172816164788641,0.006754908888169809,0.8157718509597383,0.02453305930966981,0.8584233947870311,0.03025638176039873,0.01928768407461619,0.016618763850468992,0.01693739037596278,0.012354981787395216
bail,sage,edge_adder,uncertainty,0.9221016792786673,0.008555321588959816,0.8281159563901085,0.022612379247739758,0.8719220173765627,0.027718870856639037,0.03528928938068111,0.019985065761329347,0.02355830092274842,0.01823897098847138
bail,sage,edge_adder,ratio,1.005254725171868,1.2665339726407199,1.0151318109540648,0.9217105360694657,1.015724900639364,0.916133035210412,1.8296281318255334,1.2025603072015103,1.3909049977487624,1.4762442634338095
bail,sgc,edge_adder,none,0.8943537382948697,0.006758530522078516,0.797473336738927,0.0077874970141444365,0.8476584022038567,0.006793304598871794,0.03772174503167476,0.0027512472785609396,0.024688477083809956,0.002251882996658713
bail,sgc,edge_adder,uncertainty,0.899359814707674,0.0015954196016978177,0.8039541235153956,0.003305211332084447,0.8529985166348801,0.002930254377465741,0.036765984046147684,0.0030008365821610097,0.02712041485548692,0.002769175869972707
bail,sgc,edge_adder,ratio,1.0055974232548617,0.23606013119064273,1.0081266501059085,0.42442537391426144,1.0062998425039373,0.4313444708415381,0.9746628639601765,1.0907186008124357,1.0985049731265832,1.229715697521381
german,gat,edge_adder,none,0.5552571428571429,0.038867962079204454,0.7179980393951194,0.08952986536995097,0.6192,0.07148258529180374,0.07060829241680307,0.06856546654557052,0.0707983193277311,0.07618580965895354
german,gat,edge_adder,uncertainty,0.5421257142857143,0.021714224227147704,0.6109264395243987,0.13872486107878726,0.5483999999999999,0.09337151599925964,0.09319421713038734,0.08892979937636185,0.09117647058823529,0.08541899001779354
german,gat,edge_adder,ratio,0.9763507255325717,0.5586663942631939,0.8508748018853595,1.5494813993694183,0.8856589147286821,1.3062134730872095,1.3198763762796983,1.297005677300491,1.2878338278931747,1.1211929150608548
german,gcn,edge_adder,none,0.7172876190476191,0.0061493030779651,0.7304476587040517,0.06386662457810167,0.6588,0.04633961588101481,0.09481723949809055,0.027622062387412934,0.04138655462184875,0.02162029081187201
