dataset,encoder,model,attack_mode,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,edge_adder,none,0.912051548873032,0.0091090493636543,0.8218409453103762,0.0189592168104744,0.8769866497139225,0.0117208067920141,0.0674825055427271,0.0037357269021711,0.0565865934568748,0.0080857030923471
bail,gcn,edge_adder,none,0.9097743768233064,0.0053779292239316,0.8181029148905058,0.0387287295527943,0.8556473829201101,0.0476324600451498,0.0422314293478417,0.0042418444424532,0.0266216731487836,0.0036416771885972
bail,gin,edge_adder,none,0.8590444802600766,0.0118954556369506,0.7398315609168932,0.0293013029035478,0.7832803560076287,0.0344182786947203,0.1237403056192182,0.0171478405307698,0.0768855334400976,0.0117361087835624
bail,sage,edge_adder,none,0.917281616478864,0.0067549088881698,0.8157718509597383,0.0245330593096698,0.8584233947870311,0.0302563817603987,0.0192876840746161,0.0166187638504689,0.0169373903759627,0.0123549817873952
bail,sgc,edge_adder,none,0.8943537382948697,0.0067585305220785,0.797473336738927,0.0077874970141444,0.8476584022038567,0.0067933045988717,0.0377217450316747,0.0027512472785609,0.0246884770838099,0.0022518829966587
german,gat,edge_adder,none,0.5552571428571429,0.0388679620792044,0.7179980393951194,0.0895298653699509,0.6192,0.0714825852918037,0.070608292416803,0.0685654665455705,0.0707983193277311,0.0761858096589535
german,gcn,edge_adder,none,0.7172876190476191,0.0061493030779651,0.7304476587040517,0.0638666245781016,0.6588,0.0463396158810148,0.0948172394980905,0.0276220623874129,0.0413865546218487,0.021620290811872
german,gin,edge_adder,none,0.640007619047619,0.0326949561803833,0.5827186876766317,0.2593563569606745,0.5660000000000001,0.1371626771392276,0.106519367157665,0.0938231295864671,0.095798319327731,0.0877723952165525
german,sage,edge_adder,none,0.6357942857142856,0.0706830656366887,0.4968003273122868,0.307187466969843,0.5319999999999999,0.1643508442326962,0.0903709765411893,0.08182181228386,0.0735294117647058,0.0853585156571033
german,sgc,edge_adder,none,0.6643809523809524,0.0443112962466309,0.7497068669959254,0.0782901927676619,0.6584,0.0525570166581018,0.1271276595744681,0.0806172283616186,0.0820378151260504,0.0660487128791257
nba,gat,edge_adder,none,0.6184615384615385,0.052799504161599,0.5861845714247664,0.0507445062954172,0.579746835443038,0.0466125383279037,0.0962519936204147,0.0739187995009902,0.1933333333333333,0.1133333333333333
nba,gcn,edge_adder,none,0.678397435897436,0.0085333491278206,0.5750650474255379,0.0240868771444565,0.591139240506329,0.0150308127684024,0.3053429027113238,0.0249601275917065,0.3233333333333333,0.0334995854037363
nba,gin,edge_adder,none,0.6032051282051282,0.0309197706273446,0.5438602208500252,0.1626457688226915,0.5569620253164558,0.0330086197731779,0.0665869218500797,0.0432438280848824,0.1566666666666666,0.1125956383603635
nba,sage,edge_adder,none,0.6308333333333331,0.0236632251574478,0.5495920206105425,0.0324996487356426,0.5620253164556963,0.0180795656418806,0.0708133971291866,0.0379132723075798,0.0933333333333333,0.0646357314322177
nba,sgc,edge_adder,none,0.683076923076923,0.0043589743589743,0.5977369526380683,0.038729567897595,0.5936708860759493,0.0143769831539247,0.2442583732057416,0.047061672240537,0.13,0.0481894409826698
pokec_n,gat,edge_adder,none,0.7562340512148382,0.0040655683984853,0.6691808506093845,0.0167130825980513,0.6931818181818181,0.0103232866827326,0.0236812837400583,0.0125949082756004,0.0310233679303544,0.0172303614618029
pokec_n,gcn,edge_adder,none,0.759523762241882,0.0018083923382016,0.6561418386733615,0.0217230967071051,0.7035909090909092,0.0053838218014792,0.0122865405823857,0.0091634454486689,0.0188310058370022,0.0135313510131679
pokec_n,gin,edge_adder,none,0.689573838531272,0.0132879376043638,0.6144650611379492,0.0094326817758354,0.6444090909090909,0.0146812552664391,0.0205207723432607,0.0188205513013494,0.0291710659999601,0.0249788128141038
pokec_n,sage,edge_adder,none,0.7223476611758164,0.0081761621880364,0.6588365508583757,0.008465408933679,0.6546363636363636,0.0104916338177277,0.043431001493177,0.0170660820153724,0.0476379066478076,0.0273158361138239
pokec_n,sgc,edge_adder,none,0.7490756324076004,0.0025097772384933,0.671750032796322,0.0118149148978778,0.6845,0.0134509362480986,0.0196973304907874,0.007964097644685,0.0326007530330497,0.0066426038724641
pokec_z,gat,edge_adder,none,0.7868379513014274,0.0024871101592834,0.7039851565504338,0.0169599435507707,0.7104832424006235,0.0044585801873588,0.0160591786334949,0.009260987881153,0.0153428571428571,0.0090315094677083
pokec_z,gcn,edge_adder,none,0.7836324860697657,0.0021467357352285,0.69081203276634,0.0275995899439458,0.7090413094310211,0.0067166205838848,0.0279733241508439,0.0059362899334738,0.0146285714285714,0.0078410744786407
pokec_z,gin,edge_adder,none,0.7028857644454621,0.0103137368071848,0.6269816960462347,0.0263821318342064,0.6381917381137958,0.0167214894891171,0.0269943667579535,0.0177004714701607,0.0318571428571428,0.018736083270698
pokec_z,sage,edge_adder,none,0.7501070757957408,0.0278463777559955,0.6354475316475161,0.0803385115811193,0.6695635229929853,0.0247369887893435,0.0257699302166673,0.0236288931860689,0.0170857142857142,0.0099507357947612
pokec_z,sgc,edge_adder,none,0.7745397145256087,0.0010022932403798,0.7009698852308238,0.0189112130800912,0.7076383476227591,0.004404948137473,0.0147103211539806,0.0126964677305146,0.0216,0.0149787332234602
