dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,fairinv,none,0.940794387659831,0.0107254108918632,0.9077558804831533,0.0086463410214338,0.8723540343634417,0.0124989638260587,0.0718628955034176,0.0042005630165043,0.0506954930221917,0.006182395208207
bail,gat,fairinv,uncertainty,0.9467276909937461,0.00431150316420157,0.9076075439711803,0.006122675504058013,0.8732071470997493,0.008568048705294016,0.07473095127863742,0.003256072298033284,0.05008769922977195,0.0030994775914543102
bail,gat,fairinv,ratio,1.0599277240318536,0.4663912373064557,1.0608837808382048,0.5112899775963446,1.0847397355458677,0.752053373437776,1.0421411324420562,0.4091022774730811,1.2524551400621646,0.2859193045413466
bail,gcn,fairinv,none,0.8932002338730168,0.0092443914450489,0.8555202373384191,0.0119749570152767,0.8049923115062528,0.0113928731761788,0.0717090506767734,0.0079590666621198,0.0399916113780218,0.0108403928738785
bail,gcn,fairinv,uncertainty,0.892842412366495,0.015402022149580943,0.8538673447764358,0.013789483972954637,0.8041276493929901,0.016371192829848467,0.07518984379717789,0.007402118993623262,0.04358499199267903,0.006537293749840684
bail,gcn,fairinv,ratio,0.949030334446814,1.4360309646752685,0.940635431986367,1.5948346171833,0.9217904861066682,1.309804001169815,1.0462957729500626,1.7621730621680545,0.8597409630398489,1.057404699907014
bail,gin,fairinv,none,0.8648116962528277,0.0075079338352964,0.8431235431235432,0.0193067982910615,0.784082650414357,0.0145268299229615,0.0842256752637648,0.0098591275124066,0.0734507740410279,0.0164831609276278
bail,gin,fairinv,uncertainty,0.8652670445675031,0.006498393103981352,0.8427209154481881,0.02379710335064008,0.7863505795055359,0.02201765910994389,0.07339523311085742,0.01506768674689788,0.058774498589186285,0.019431042776743155
bail,gin,fairinv,ratio,1.0005265288578409,0.8655368103313615,0.9995224570839719,1.2325763698301786,1.0028924617704273,1.515654773044612,0.8714116316789353,1.5282981914917821,0.8001889613356044,1.1788420232052907
bail,sage,fairinv,none,0.926911391513838,0.0081662996400649,0.8913541004450096,0.0051803481834547,0.8466320584885624,0.0061038083687887,0.0236890120286525,0.0120385316700609,0.0146808510638297,0.0116428090413767
bail,sage,fairinv,uncertainty,0.9258565522709254,0.008401112249762525,0.8936427209154483,0.008184446455881185,0.8485717128859358,0.012470007383185386,0.025184362176602342,0.01368453220654195,0.013131243803858772,0.009868886906715984
bail,sage,fairinv,ratio,0.998861984810447,1.0287538567095438,1.0025675772056202,1.5799027721768106,1.002291024038041,2.0429880215358165,1.0631242090696384,1.136727682544089,0.8944470417121245,0.8476379601901503
bail,sgc,fairinv,none,0.9049229275146706,0.0090573698938869,0.8815638906547998,0.0084654782719166,0.8342799027222144,0.0092525581226602,0.0493064761483006,0.0070628439677499,0.0339937466636162,0.0090106531126785
bail,sgc,fairinv,uncertainty,0.9143386027464773,0.01645737302398197,0.8891078618351346,0.01567356900083216,0.8450422029502336,0.020726160161085173,0.052059058440904894,0.007350504814830715,0.026960268435903278,0.009656109170061634
