dataset,backbone,model,attack_mode,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,fairinv,none,0.0,0.0,0.9455811220241649,0.008245978249957316,0.7951819015493145,0.11072834160680886,0.06346054167757,0.019126626692469662,0.032695035460992936,0.02023756165428505
bail,gcn,fairinv,none,0.0,0.0,0.9086151327168147,0.0028510874655514776,0.6728930655402031,0.05870473333173308,0.017103159426374463,0.007136473959965182,0.009868069854342998,0.004513238151908459
bail,gin,fairinv,none,0.0,0.0,0.8618799801330382,0.013801105172042059,0.748717989407839,0.025281976347116278,0.06531859538235472,0.009479811298736148,0.04385571570197516,0.015010772970901224
bail,sage,fairinv,none,0.0,0.0,0.9189542084133063,0.010502451538910404,0.790330672506015,0.049117832221205616,0.007589564288446105,0.005372744017052218,0.010137268359643126,0.007992098082497656
bail,sgc,fairinv,none,0.0,0.0,0.9150319662169815,0.007529784728680968,0.7262316909088018,0.09690434359003937,0.026507122152792367,0.020641250285299298,0.014179821551132477,0.011228745730597876
german,gat,fairinv,none,0.0,0.0,0.5510590476190476,0.058943015303437124,0.24705882352941175,0.3773885866434221,0.0,0.0,0.0,0.0
german,gcn,fairinv,none,0.0,0.0,0.6871238095238096,0.013083936941750007,0.7504891074502825,0.21435704620739213,0.013406983087834152,0.022169565557512448,0.011449579831932767,0.023235189645243563
german,gin,fairinv,none,0.0,0.0,0.6824609523809524,0.028406136221892045,0.8248986884172,0.017088519856459237,0.017062193126022918,0.021145701730422396,0.01165966386554621,0.019524539177938813
german,sage,fairinv,none,0.0,0.0,0.6879771428571428,0.025764438991627336,0.8220480081353316,0.006572413055835388,0.017689579923622457,0.022802584050519423,0.012079831932773111,0.02044005368849366
german,sgc,fairinv,none,0.0,0.0,0.6423085714285715,0.03178386966646853,0.7512763596004439,0.211213412052859,0.010665575559192555,0.011728422039753739,0.014705882352941204,0.011592756017917146
nba,gat,fairinv,none,0.0,0.0,0.7546153846153847,0.04065517831712671,0.5521049381440547,0.2797735521408771,0.1495215311004785,0.12694275256336304,0.1,0.11450376024878448
nba,gcn,fairinv,none,0.0,0.0,0.6788461538461539,0.027009933157116,0.6536929973294159,0.05492199243109439,0.06443381180223284,0.0526216703253174,0.06000000000000001,0.06633249580710801
nba,gin,fairinv,none,0.0,0.0,0.6032051282051282,0.03274380057358382,0.40450078336419315,0.3302800582802835,0.0035087719298245723,0.007017543859649145,0.0,0.0
nba,sage,fairinv,none,0.0,0.0,0.6775641025641026,0.033376451402422604,0.26890756302521013,0.3293431586935366,0.0,0.0,0.0,0.0
nba,sgc,fairinv,none,0.0,0.0,0.7837179487179486,0.017926268011290658,0.02978723404255319,0.08936170212765956,0.005980861244019138,0.017942583732057413,0.01,0.030000000000000002
pokec_n,gat,fairinv,none,0.0,0.0,0.7587797338311174,0.005120275706969827,0.6601687418967788,0.011266160052335052,0.012122842060341522,0.01507889032824288,0.015475825248520847,0.00735093062254854
pokec_n,gcn,fairinv,none,0.0,0.0,0.7376332168306641,0.001445681199659518,0.6514266711899251,0.0028062009582932226,0.010097761541773009,0.004562417623367726,0.025547343466741056,0.007631706744291708
pokec_n,gin,fairinv,none,0.0,0.0,0.7305029307702746,0.010044415771302877,0.6490363891903795,0.01880059243599276,0.016809587709443997,0.010369920288994415,0.04174313205968484,0.014632423426456386
pokec_n,sage,fairinv,none,0.0,0.0,0.7712803957781021,0.0019926718106960074,0.6658580596362529,0.006679960619025214,0.035200318245615016,0.011039167787587519,0.011555272227423941,0.009829040388006484
pokec_n,sgc,fairinv,none,0.0,0.0,0.7473094751091385,0.00767065946218527,0.6621847410403542,0.007447750611246231,0.015277096867876715,0.007694667933994834,0.05515469051935371,0.008731077113045072
pokec_z,gat,fairinv,none,0.0,0.0,0.7795287687962751,0.006094639547658441,0.7100527553992866,0.00843650130650866,0.04927607190319648,0.015044439210978757,0.038800000000000015,0.022235401080810062
pokec_z,gcn,fairinv,none,0.0,0.0,0.7629443248606976,0.0010944418992924275,0.7096058751460881,0.0027350752130183994,0.03897011745336567,0.002605789127385438,0.03659999999999999,0.003737182175415708
pokec_z,gin,fairinv,none,0.0,0.0,0.7522142737195634,0.011590485417065585,0.679695302430943,0.020314357772763324,0.025653310807538958,0.013769569052557724,0.03219999999999999,0.013588140086870143
pokec_z,sage,fairinv,none,0.0,0.0,0.7864899778642852,0.006017456011553432,0.7074001087335275,0.012004746725903565,0.053824497877446045,0.017315352193658706,0.05477142857142858,0.01572885039327022
pokec_z,sgc,fairinv,none,0.0,0.0,0.7786872147164339,0.0007407413502544796,0.7201605874450079,0.0025146643491776367,0.05166616449927634,0.004489132989549521,0.04462857142857142,0.005706852307998362
