dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,degree,0.9418414017993528,0.9421040306361408,,0.8669837989374753,0.8683969412548818,,0.0750779288748048,0.0741669554252587,,0.0521947685502935,0.0460870891481735,
bail,gat,uncertainty,0.9418414017993528,0.9402414838385786,,0.8669837989374753,0.8653820664222541,,0.0750779288748048,0.0708327821758546,,0.0521947685502935,0.0432845268054602,
bail,gcn,degree,0.9047864952108072,0.9065794578982652,,0.8086452184190863,0.8110257817512911,,0.0624292421632595,0.0615054902473882,,0.032345001143903,0.0369663692518874,
bail,gcn,uncertainty,0.9047864952108072,0.9016646616034996,,0.8086452184190863,0.8043256775877079,,0.0624292421632595,0.0638063510595163,,0.032345001143903,0.0384557309540151,
bail,gin,degree,0.8535745416670493,0.8509983990106316,,0.7442040466355178,0.746323986070718,,0.0943118571227279,0.0944258568581723,,0.0624449020056432,0.0655189506596507,
bail,gin,uncertainty,0.8535745416670493,0.8662007955968202,,0.7442040466355178,0.7517598777984953,,0.0943118571227279,0.0893150813939779,,0.0624449020056432,0.0678860672614962,
bail,sage,degree,0.915550967634301,0.9162253136163686,,0.8260085136502611,0.8240112767039012,,0.0243741606830135,0.0231315941199644,,0.0140334019675131,0.0190429344924883,
bail,sage,uncertainty,0.915550967634301,0.9170736772705428,,0.8260085136502611,0.8202287054861117,,0.0243741606830135,0.0381166194109037,,0.0140334019675131,0.0195927705330588,
bail,sgc,degree,0.88765248428857,0.8865173851221252,,0.7873150039795429,0.7878835658113761,,0.0437672356528915,0.0417587159564403,,0.0236879432624113,0.0247708380995957,
bail,sgc,uncertainty,0.88765248428857,0.8869768468774586,,0.7873150039795429,0.7852068362215704,,0.0437672356528915,0.0440866613659695,,0.0236879432624113,0.0252352627163882,
german,gat,degree,0.566487619047619,0.5358552380952382,,0.5521472116887732,0.5368168311967758,,0.0612656846699399,0.1408210583742498,,0.0763655462184873,0.1932773109243697,
german,gat,uncertainty,0.566487619047619,0.5735657142857142,,0.5521472116887732,0.590143332592707,,0.0612656846699399,0.1928259683578832,,0.0763655462184873,0.1826680672268907,
german,gcn,degree,0.7426971428571428,0.7360685714285714,,0.7603773916005582,0.6564605699808375,,0.320430987452264,0.25740589198036,,0.2581932773109243,0.2170168067226891,
german,gcn,uncertainty,0.7426971428571428,0.7360228571428571,,0.7603773916005582,0.6745598108747133,,0.320430987452264,0.255646481178396,,0.2581932773109243,0.1977941176470588,
german,gin,degree,0.6833980952380952,0.6813866666666666,,0.6241708656045063,0.6853185646965342,,0.2503818876159301,0.2896481178396072,,0.228781512605042,0.2626050420168067,
german,gin,uncertainty,0.6833980952380952,0.6806704761904763,,0.6241708656045063,0.6221709338669876,,0.2503818876159301,0.2199399890889252,,0.228781512605042,0.203781512605042,
german,sage,degree,0.6255085714285715,0.6586438095238095,,0.5717136659433394,0.5899233583331951,,0.0828423349699945,0.1114975450081833,,0.0503151260504201,0.0973739495798319,
german,sage,uncertainty,0.6255085714285715,0.6055238095238095,,0.5717136659433394,0.4756987764982993,,0.0828423349699945,0.069899072558647,,0.0503151260504201,0.0570378151260504,
german,sgc,degree,0.6979123809523808,0.6878933333333332,,0.6348553159630883,0.5729335110437918,,0.2471085651936716,0.209683578832515,,0.1836134453781512,0.1821428571428571,
german,sgc,uncertainty,0.6979123809523808,0.6808990476190477,,0.6348553159630883,0.6007741295682549,,0.2471085651936716,0.2216721222040371,,0.1836134453781512,0.1762605042016806,
nba,gat,degree,0.6394871794871795,0.6035897435897436,,0.590631429891868,0.5543148384321667,,0.1383572567783094,0.1726475279106858,,0.2133333333333333,0.2566666666666667,
nba,gat,uncertainty,0.6394871794871795,0.6505769230769232,,0.590631429891868,0.6384537727709338,,0.1383572567783094,0.1175438596491228,,0.2133333333333333,0.1566666666666666,
nba,gcn,degree,0.6726282051282052,0.6693589743589744,,0.6028538914465907,0.597263542207106,,0.3,0.3893141945773525,,0.2799999999999999,0.37,
nba,gcn,uncertainty,0.6726282051282052,0.6755128205128205,,0.6028538914465907,0.5970617774499754,,0.3,0.3389154704944178,,0.2799999999999999,0.2766666666666666,
nba,gin,degree,0.6063461538461539,0.5817948717948718,,0.57492207270038,0.4946278982425614,,0.0854066985645933,0.0814194577352472,,0.1566666666666666,0.1166666666666666,
nba,gin,uncertainty,0.6063461538461539,0.5877564102564102,,0.57492207270038,0.5002683927982048,,0.0854066985645933,0.0827751196172249,,0.1566666666666666,0.1033333333333333,
nba,sage,degree,0.6378846153846154,0.6311538461538462,,0.5751761734175085,0.5323641192231129,,0.069377990430622,0.0761562998405103,,0.0566666666666666,0.1233333333333333,
nba,sage,uncertainty,0.6378846153846154,0.6315384615384615,,0.5751761734175085,0.5538704048582498,,0.069377990430622,0.0700956937799043,,0.0566666666666666,0.0799999999999999,
nba,sgc,degree,0.6825641025641026,0.6651923076923076,,0.5794754751968985,0.5573941537502453,,0.2923444976076556,0.3859649122807017,,0.1866666666666666,0.2766666666666666,
nba,sgc,uncertainty,0.6825641025641026,0.6896153846153846,,0.5794754751968985,0.603861217183499,,0.2923444976076556,0.3038277511961723,,0.1866666666666666,0.2033333333333333,
pokec_n,gat,degree,0.7556281214937497,0.7522355190822767,,0.672946344310918,0.6524701159435797,,0.0111038584479363,0.0161517120176006,,0.0112703946450983,0.0319413510767575,
pokec_n,gat,uncertainty,0.7556281214937497,0.7509871284408831,,0.672946344310918,0.6638167652739554,,0.0111038584479363,0.0162979481188677,,0.0112703946450983,0.0319062892204713,
