dataset,encoder,attack_mode,selected,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,degree,1,0.9418414017993530,0.9421040306361410,0.918590666354428,0.8669837989374750,0.8683969412548820,0.8264029272377400,0.0750779288748048,0.0741669554252587,0.0712564485424999,0.0521947685502935,0.0460870891481735,0.0481766186227407
bail,gat,uncertainty,0,0.9418414017993530,0.9402414838385790,0.9127873668775810,0.8669837989374750,0.8653820664222540,0.8240867020653820,0.0750779288748048,0.0708327821758546,0.0705987259635431,0.0521947685502935,0.0432845268054602,0.0535705025547166
bail,gcn,degree,0,0.9047864952108070,0.9065794578982650,0.9083823119755840,0.8086452184190860,0.8110257817512910,0.8115966991635800,0.0624292421632595,0.0615054902473882,0.041069110115513,0.032345001143903,0.0369663692518874,0.0261572485319911
bail,gcn,uncertainty,1,0.9047864952108070,0.9016646616035000,0.909290731863362,0.8086452184190860,0.8043256775877080,0.8293874968528150,0.0624292421632595,0.0638063510595163,0.0403018989052574,0.032345001143903,0.0384557309540151,0.0253443148021047
bail,gin,degree,1,0.8535745416670490,0.8509983990106320,0.8550376255460350,0.7442040466355180,0.746323986070718,0.7411631523368920,0.0943118571227279,0.0944258568581723,0.1030705522310380,0.0624449020056432,0.0655189506596507,0.0709380004575612
bail,gin,uncertainty,0,0.8535745416670490,0.8662007955968200,0.859009162067266,0.7442040466355180,0.7517598777984950,0.745306561079645,0.0943118571227279,0.0893150813939779,0.103192693520976,0.0624449020056432,0.0678860672614962,0.0700061008159841
bail,sage,degree,0,0.915550967634301,0.9162253136163690,0.9191690543754760,0.8260085136502610,0.8240112767039010,0.8332080586666030,0.0243741606830135,0.0231315941199644,0.0173181108430408,0.0140334019675131,0.0190429344924883,0.0172492945931518
bail,sage,uncertainty,1,0.915550967634301,0.9170736772705430,0.9221016792786670,0.8260085136502610,0.8202287054861120,0.8281159563901090,0.0243741606830135,0.0381166194109037,0.0352892893806811,0.0140334019675131,0.0195927705330588,0.0235583009227484
bail,sgc,degree,0,0.88765248428857,0.8865173851221250,0.8954829638507010,0.7873150039795430,0.7878835658113760,0.7926687135391530,0.0437672356528915,0.0417587159564403,0.0316788065092177,0.0236879432624113,0.0247708380995957,0.0235338976588118
bail,sgc,uncertainty,1,0.88765248428857,0.8869768468774590,0.899359814707674,0.7873150039795430,0.7852068362215700,0.8039541235153960,0.0437672356528915,0.0440866613659695,0.0367659840461476,0.0236879432624113,0.0252352627163882,0.0271204148554869
