dataset,encoder,attack_mode,AUC_std_clean,AUC_std_attacked,AUC_std_defended,F1_std_clean,F1_std_attacked,F1_std_defended,DP_std_clean,DP_std_attacked,DP_std_defended,EO_std_clean,EO_std_attacked,EO_std_defended
bail,gat,degree,0.0104810084228694,0.0077053295146812,0.0136175226211814,0.0172379752365218,0.0160702252674413,0.0240575808132796,0.0037047198496622,0.005306487058884,0.0053950652671471,0.0096221831340051,0.0126767939137034,0.0163390535395415
bail,gcn,uncertainty,0.0013609024549648,0.0130969023830356,0.008978588074786,0.006611186952455,0.0109573891662641,0.0170542080232602,0.0028369074279794,0.0078638254909304,0.0076832442187918,0.0037946100700477,0.0115049793414062,0.0055973355452036
bail,gin,degree,0.0104898751338443,0.0059279678259834,0.0126361186514189,0.018288231266226,0.021673136297478,0.020267409297,0.012848756758887,0.0062680444926201,0.0207923193730069,0.009313402030678,0.0092101090107057,0.0136112756290563
bail,sage,uncertainty,0.0058056492434387,0.0043299543376761,0.0076645347938038,0.0164366625858244,0.0153247558507396,0.0082846908186287,0.0192734670412319,0.0221005661498778,0.0191997551217118,0.0093271903480594,0.0083409945549474,0.0209863209872983
bail,sgc,uncertainty,0.0015636559472076,0.0040355859266763,0.0021888524943079,0.005932931051207,0.0097523919890012,0.006585136474731,0.0038570871841986,0.0054808965808219,0.0032960543900018,0.0061663158182481,0.0072979580421001,0.0057691143065007
german,gat,uncertainty,0.0289083778392536,0.0424535474988615,0.0207843108455456,0.171487562305505,0.1175947027812811,0.1754898072231694,0.0462395735637986,0.1451453612070239,0.0774991487647271,0.0380856627496861,0.1579284627730517,0.0701815892973945
german,gcn,uncertainty,0.0117600413407267,0.0126300761870147,0.0227178294130981,0.0689067877678036,0.1412580288669804,0.1130633546575391,0.0914229732964241,0.1002702538733612,0.0790136186458211,0.09350840100138,0.1096268833131152,0.0852074657123455
german,gin,degree,0.026715822992862,0.0195391304346071,0.0348857845377138,0.2247602965699149,0.1060344589542926,0.1613833346375286,0.104912902149251,0.0921341790856968,0.1380951021278891,0.1085372276178565,0.1180973151649231,0.1220476137116615
german,sage,degree,0.0724812361925484,0.0673169400398334,0.0466876320641248,0.3285433845160603,0.2786519645174743,0.3045979526016444,0.0798887310748484,0.1071936437125518,0.1207423198737791,0.065301082899637,0.1062068295013257,0.1333181425684966
german,sage,uncertainty,0.0724812361925484,0.0750292556696999,0.0567324072923774,0.3285433845160603,0.3216006483852733,0.1223238078382951,0.0798887310748484,0.0703779188553795,0.1021508437053334,0.065301082899637,0.0603695579634769,0.1222214309049172
nba,gat,degree,0.0555116361572008,0.0595872555639293,0.0576324832273035,0.040011335095956,0.0556503593441487,0.0623047366399737,0.0700386970635225,0.1100410568138448,0.079890974512338,0.0933333333333333,0.1673652028084426,0.0924361641590803
nba,gcn,uncertainty,0.0071442012917683,0.0116687797466489,0.0157018573255331,0.0177364722640478,0.0212893634065538,0.0589775558896068,0.0354802603792222,0.0771103925031246,0.0621976852695379,0.0599999999999999,0.1291424708520701,0.0856997342145496
nba,gin,degree,0.0111562405328626,0.059249081418324,0.0100354811045282,0.0703921218308164,0.2197884863517046,0.0501347943315716,0.063160160173956,0.0550533287121385,0.0520533335836891,0.0715697018452796,0.077817450199525,0.1174260996920569
nba,sage,uncertainty,0.0187272763903174,0.0249750039404951,0.026228075437537,0.0350280968097535,0.0424882972211174,0.0367663514087106,0.0452989867333081,0.0521307303625637,0.0285477533206761,0.0578311719096582,0.0702376916856849,0.051207638319124
nba,sgc,uncertainty,0.0027764625420138,0.0214849763266812,0.0206645032907269,0.0164319042886373,0.0432229451892812,0.0312873663181088,0.0350608857812209,0.0535787850964702,0.0506768741196407,0.065319726474218,0.054670731556189,0.0683130051063973
pokec_n,gat,uncertainty,0.00438513496165,0.0059540140268123,0.006103766302792,0.0117440293331574,0.011723305179243,0.0267212549988361,0.008924661296802,0.0091513810547654,0.0250749532164355,0.0083455432421066,0.0149062546224002,0.0190083456859136
pokec_n,gcn,uncertainty,0.0113039678216091,0.0047938250216097,0.0059467489484719,0.0868458433430109,0.0349597906040193,0.0414115848726971,0.0135130528937317,0.0257212960881768,0.0261164801346583,0.0146343308046904,0.0335107986303352,0.0246789721108825
pokec_n,gin,degree,0.0104955556973937,0.0124102574665769,0.0102577838287833,0.0152391429747249,0.0113391722793071,0.0174398867101927,0.0214275262777281,0.0840983447299377,0.0193598054996774,0.0146532030463013,0.0669153786063392,0.0153947851420072
pokec_n,sage,degree,0.0060958827522641,0.0088915312812995,0.0081952346332146,0.0079454608348464,0.0161721314334414,0.0103461325194167,0.0127810170262847,0.0133876724782504,0.022744028666838,0.0137582631216406,0.0212990852807461,0.0247606285087754
pokec_n,sgc,degree,0.0008759590407647,0.0039224450410032,0.00621279352653,0.0123396104816454,0.0107364139030514,0.0298500953386769,0.0063127510050203,0.0150808025558494,0.0272592842483047,0.0080059782131513,0.0367025167912061,0.0313286416847986
pokec_z,gat,uncertainty,0.0025949739858483,0.0028808314159389,0.0039707678691477,0.0290215243026834,0.0190225175161252,0.0210269106495157,0.0099681419399851,0.0208980002017214,0.0146481715709905,0.0132296512981026,0.0174375620838628,0.014780047223144
