dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,tuned_nifa,0.9418414017993528,0.9358980157527558,0.9148332965993516,0.8669837989374753,0.862272613287138,0.8165267580583973,0.0750779288748048,0.0769803567474615,0.0769240667945352,0.0521947685502935,0.0528376420346221,0.0640486540074734
bail,gcn,tuned_nifa,0.9047864952108072,0.9010986904335528,0.9162149439194548,0.8086452184190863,0.796296800791702,0.8373805969618193,0.0624292421632595,0.0644884443843762,0.060022559115234,0.032345001143903,0.034645771371921,0.0346145046900023
bail,gin,tuned_nifa,0.8535745416670493,0.855276692977381,0.8550836769491204,0.7442040466355178,0.7400535187947276,0.7250769790568545,0.0943118571227279,0.0980091832421287,0.1108721563868607,0.0624449020056432,0.0705414474185922,0.0662266453138107
bail,sage,tuned_nifa,0.915550967634301,0.920603525926538,0.9193190419012284,0.8260085136502611,0.8316654395303293,0.8344024030225942,0.0243741606830135,0.02313896285582,0.0164286505076879,0.0140334019675131,0.0132418210935712,0.0149225958972012
bail,sgc,tuned_nifa,0.88765248428857,0.8873625823836069,0.8935708261778599,0.7873150039795429,0.7733148986858799,0.8050606891156452,0.0437672356528915,0.0414510263031519,0.0666424696551863,0.0236879432624113,0.0200526195378631,0.0419903912148249
german,gat,tuned_nifa,0.566487619047619,0.5204342857142856,0.5199085714285714,0.5521472116887732,0.6386016706014485,0.5803987118526017,0.0612656846699399,0.4650436442989634,0.2357201309328969,0.0763655462184873,0.5227941176470587,0.2551470588235294
german,gcn,tuned_nifa,0.7426971428571428,0.7238780952380951,0.7064228571428571,0.7603773916005582,0.708893979429346,0.6737843959222707,0.320430987452264,0.4008046917621386,0.1925122749590834,0.2581932773109243,0.3480042016806722,0.1283613445378151
german,gin,tuned_nifa,0.6833980952380952,0.6740114285714285,0.6632,0.6241708656045063,0.5780269602645627,0.6652631428483318,0.2503818876159301,0.3105019094380796,0.2219994544462629,0.228781512605042,0.2737394957983193,0.1723739495798319
german,sage,tuned_nifa,0.6255085714285715,0.5774019047619048,0.6011276190476191,0.5717136659433394,0.3449575477203317,0.4495060550448486,0.0828423349699945,0.095785597381342,0.0749181669394435,0.0503151260504201,0.093172268907563,0.0470588235294117
german,sgc,tuned_nifa,0.6979123809523808,0.6766171428571428,0.6203961904761904,0.6348553159630883,0.7001348508215901,0.5806864307270462,0.2471085651936716,0.2644571740316421,0.0316693944353518,0.1836134453781512,0.2009453781512605,0.0338235294117647
