dataset,encoder,attack_mode,AUC_std_clean,AUC_std_attacked,AUC_std_defended,F1_std_clean,F1_std_attacked,F1_std_defended,DP_std_clean,DP_std_attacked,DP_std_defended,EO_std_clean,EO_std_attacked,EO_std_defended
bail,gat,tuned_nifa,0.0104810084228694,0.0087018382766661,0.0048469319235506,0.0172379752365218,0.0168913159060046,0.009177363021059,0.0037047198496622,0.0080399917531024,0.0061351466752349,0.0096221831340051,0.0099371062210314,0.0035259461491031
bail,gcn,tuned_nifa,0.0013609024549648,0.0078008619881047,0.0059654575163599,0.006611186952455,0.013683862652799,0.0101092446156141,0.0028369074279794,0.0050798872668759,0.0071129909413874,0.0037946100700477,0.0072579700766619,0.0023808058203737
bail,gin,tuned_nifa,0.0104898751338443,0.0159962864834015,0.015190272209234,0.018288231266226,0.0352524638607925,0.0202187208229982,0.012848756758887,0.0136491884698058,0.0208585864915786,0.009313402030678,0.0065654889800166,0.0126359606326149
bail,sage,tuned_nifa,0.0058056492434387,0.0090647647740824,0.0074883692449735,0.0164366625858244,0.0149242207920729,0.0137325812548895,0.0192734670412319,0.0174208323887764,0.0136019072954962,0.0093271903480594,0.0112538069569315,0.0161221613370667
bail,sgc,tuned_nifa,0.0015636559472076,0.0065447323374058,0.0079742330637357,0.005932931051207,0.0332529122513179,0.009814319441466,0.0038570871841986,0.0062900789131617,0.007082639049704,0.0061663158182481,0.0042675023154301,0.0049173085979887
german,gat,tuned_nifa,0.0289083778392536,0.0188113359946805,0.0501415348625004,0.171487562305505,0.0804826728728763,0.1911497864880897,0.0462395735637986,0.1206004509451132,0.1478976994301077,0.0380856627496861,0.1262026828969874,0.1478053157320842
german,gcn,tuned_nifa,0.0117600413407267,0.0135413627197704,0.0453943956903349,0.0689067877678036,0.0869641194554073,0.2570141772349226,0.0914229732964241,0.0423335309490742,0.0327921052752206,0.09350840100138,0.053744263131094,0.057332256096837
german,gin,tuned_nifa,0.026715822992862,0.0197363689520243,0.0170766450421531,0.2247602965699149,0.1591050814547373,0.1623953725585803,0.104912902149251,0.1154078957992556,0.090750043697218,0.1085372276178565,0.1110420816729711,0.0819492684321711
german,sage,tuned_nifa,0.0724812361925484,0.1062053217724475,0.0398814526308355,0.3285433845160603,0.3416607786093568,0.2056247740584738,0.0798887310748484,0.1511570570430961,0.0629609091625348,0.065301082899637,0.1522421244207141,0.0523269524228413
german,sgc,tuned_nifa,0.0118986230267191,0.0331519322003526,0.0479439031234631,0.1858095104731201,0.1067856572102254,0.1624632881276506,0.0796849540971497,0.0807910333938616,0.1015021760026284,0.0572123280129488,0.0670642893088518,0.0756582581199823
nba,gat,tuned_nifa,0.0555116361572008,0.0638308665149753,0.038048476380771,0.040011335095956,0.0427704025269908,0.0878185838931206,0.0700386970635225,0.1057327257915332,0.0506642612119,0.0933333333333333,0.1196754871401082,0.1000555401320242
nba,gcn,tuned_nifa,0.0071442012917683,0.0224235313906239,0.0219242015006212,0.0177364722640478,0.0579740365567673,0.0302154401077275,0.0354802603792222,0.0629390227469211,0.0940302306800837,0.0599999999999999,0.0686375342732466,0.0907377172587746
nba,gin,tuned_nifa,0.0111562405328626,0.0376277683109227,0.0619880743975917,0.0703921218308164,0.1595695904736613,0.2104244570107883,0.063160160173956,0.0708026199825295,0.0628047515189855,0.0715697018452796,0.07180219742846,0.047258156262526
nba,sage,tuned_nifa,0.0187272763903174,0.0177715616186891,0.0198913262163594,0.0350280968097535,0.0356815472484672,0.0533041253751384,0.0452989867333081,0.0371600577580254,0.0591960120542362,0.0578311719096582,0.0657436097443867,0.0686375342732466
nba,sgc,tuned_nifa,0.0027764625420138,0.0218423314339851,0.0225383193309594,0.0164319042886373,0.0474611389190242,0.053842184316136,0.0350608857812209,0.0593957038609865,0.066388888875585,0.065319726474218,0.0525991127935316,0.0553774924194538
pokec_n,gat,tuned_nifa,0.00438513496165,0.0071233914075408,0.0070792806175689,0.0117440293331574,0.0094231480288849,0.0218242973863055,0.008924661296802,0.0260949713040099,0.0255882438122342,0.0083455432421066,0.0190900365156344,0.0176500597578046
pokec_n,gcn,tuned_nifa,0.0113039678216091,0.0153642166374024,0.0049590871572922,0.0868458433430109,0.064022697262076,0.015554562559359,0.0135130528937317,0.0224669593172899,0.0300611882423063,0.0146343308046904,0.0334709535619552,0.02723065573023
pokec_n,gin,tuned_nifa,0.0104955556973937,0.0096111627487855,0.0123290524624102,0.0152391429747249,0.0096286776999589,0.009097319744187,0.0214275262777281,0.0196014149192482,0.015654847259347,0.0146532030463013,0.0257420600886512,0.0221627674009823
pokec_n,sage,tuned_nifa,0.0060958827522641,0.0072634855003472,0.0078707263888491,0.0079454608348464,0.0202579019741718,0.0122612185410588,0.0127810170262847,0.0096000017519051,0.0291595129585628,0.0137582631216406,0.0139913790634881,0.0303424898650688
pokec_n,sgc,tuned_nifa,0.0008759590407647,0.0030929635101954,0.0045232647446759,0.0123396104816454,0.0076435452845561,0.0189990209369579,0.0063127510050203,0.0191266837972774,0.0414998269672784,0.0080059782131513,0.0201074454105688,0.0346914761990022
pokec_z,gat,tuned_nifa,0.0025949739858483,0.0050307843895927,0.0040434667246046,0.0290215243026834,0.0167664082929668,0.025817684855284,0.0099681419399851,0.0159759151379216,0.0196810189529861,0.0132296512981026,0.0178315015907127,0.0179973694222919
