dataset,encoder,attack_mode,AUC_std_clean,AUC_std_attacked,AUC_std_defended,F1_std_clean,F1_std_attacked,F1_std_defended,DP_std_clean,DP_std_attacked,DP_std_defended,EO_std_clean,EO_std_attacked,EO_std_defended
bail,gat,tuned_nifa,0.0104810084228694,0.0087018382766661,0.0078042961346209,0.0172379752365218,0.0168913159060046,0.0200355196821311,0.0037047198496622,0.0080399917531024,0.0082946807420853,0.0096221831340051,0.0099371062210314,0.0152671331748519
bail,gcn,tuned_nifa,0.0013609024549648,0.0078008619881047,0.0037461967659977,0.006611186952455,0.013683862652799,0.0100394438619612,0.0028369074279794,0.0050798872668759,0.0096291009437044,0.0037946100700477,0.0072579700766619,0.0071966342866335
bail,gin,tuned_nifa,0.0104898751338443,0.0159962864834015,0.010428627885284,0.018288231266226,0.0352524638607925,0.0156223823878132,0.012848756758887,0.0136491884698058,0.0174209336376069,0.009313402030678,0.0065654889800166,0.01217549918759
bail,sage,tuned_nifa,0.0058056492434387,0.0090647647740824,0.0034897889041561,0.0164366625858244,0.0149242207920729,0.0032750835602203,0.0192734670412319,0.0174208323887764,0.0086331429948605,0.0093271903480594,0.0112538069569315,0.0095241075014484
bail,sgc,tuned_nifa,0.0015636559472076,0.0065447323374058,0.0055630322981569,0.005932931051207,0.0332529122513179,0.0093977451432592,0.0038570871841986,0.0062900789131617,0.0049686903058291,0.0061663158182481,0.0042675023154301,0.006086639710409
german,gat,tuned_nifa,0.0289083778392536,0.0188113359946805,0.0264899680493623,0.171487562305505,0.0804826728728763,0.1970618921412847,0.0462395735637986,0.1206004509451132,0.1951234550791941,0.0380856627496861,0.1262026828969874,0.1976691211050875
german,gcn,tuned_nifa,0.0117600413407267,0.0135413627197704,0.0162987367594746,0.0689067877678036,0.0869641194554073,0.1343302161621151,0.0914229732964241,0.0423335309490742,0.0515754356438834,0.09350840100138,0.053744263131094,0.0556103984730557
german,gin,tuned_nifa,0.026715822992862,0.0197363689520243,0.0191142226017417,0.2247602965699149,0.1591050814547373,0.1119349059371052,0.104912902149251,0.1154078957992556,0.0516067252509997,0.1085372276178565,0.1110420816729711,0.0756206955913726
german,sage,tuned_nifa,0.0724812361925484,0.1062053217724475,0.0459867915967242,0.3285433845160603,0.3416607786093568,0.2795449646244075,0.0798887310748484,0.1511570570430961,0.0676272681990484,0.065301082899637,0.1522421244207141,0.0422989476761236
german,sgc,tuned_nifa,0.0118986230267191,0.0331519322003526,0.0407191024051398,0.1858095104731201,0.1067856572102254,0.1327390750500053,0.0796849540971497,0.0807910333938616,0.0323805675651578,0.0572123280129488,0.0670642893088518,0.0227715975187412
nba,gat,tuned_nifa,0.0555116361572008,0.0638308665149753,0.0380836133291965,0.040011335095956,0.0427704025269908,0.0895143882111385,0.0700386970635225,0.1057327257915332,0.0664162784940306,0.0933333333333333,0.1196754871401082,0.0573488351136175
nba,gcn,tuned_nifa,0.0071442012917683,0.0224235313906239,0.0232557176274322,0.0177364722640478,0.0579740365567673,0.0449922561543815,0.0354802603792222,0.0629390227469211,0.1348438396682802,0.0599999999999999,0.0686375342732466,0.1108051342572977
nba,gin,tuned_nifa,0.0111562405328626,0.0376277683109227,0.0170374196590637,0.0703921218308164,0.1595695904736613,0.0934618463161231,0.063160160173956,0.0708026199825295,0.0495497740285013,0.0715697018452796,0.07180219742846,0.0871779788708134
nba,sage,tuned_nifa,0.0187272763903174,0.0177715616186891,0.0147207180455459,0.0350280968097535,0.0356815472484672,0.0640292023856909,0.0452989867333081,0.0371600577580254,0.0547774917558907,0.0578311719096582,0.0657436097443867,0.06
nba,sgc,tuned_nifa,0.0027764625420138,0.0218423314339851,0.0251066921254195,0.0164319042886373,0.0474611389190242,0.0532178439870973,0.0350608857812209,0.0593957038609865,0.1295918045246446,0.065319726474218,0.0525991127935316,0.1045625809423875
pokec_n,gat,tuned_nifa,0.00438513496165,0.0071233914075408,0.005944446956414,0.0117440293331574,0.0094231480288849,0.0193211913083466,0.008924661296802,0.0260949713040099,0.0187105442765221,0.0083455432421066,0.0190900365156344,0.0157214795041188
pokec_n,gcn,tuned_nifa,0.0113039678216091,0.0153642166374024,0.003133574657834,0.0868458433430109,0.064022697262076,0.0159130432369588,0.0135130528937317,0.0224669593172899,0.034670121929796,0.0146343308046904,0.0334709535619552,0.0308296612851465
pokec_n,gin,tuned_nifa,0.0104955556973937,0.0096111627487855,0.0089152788606722,0.0152391429747249,0.0096286776999589,0.0148779264045861,0.0214275262777281,0.0196014149192482,0.0258445406641584,0.0146532030463013,0.0257420600886512,0.0226163525142239
pokec_n,sage,tuned_nifa,0.0060958827522641,0.0072634855003472,0.0086804164015778,0.0079454608348464,0.0202579019741718,0.0104322120301154,0.0127810170262847,0.0096000017519051,0.0114626252991243,0.0137582631216406,0.0139913790634881,0.0150950936508326
pokec_n,sgc,tuned_nifa,0.0008759590407647,0.0030929635101954,0.0032641678433894,0.0123396104816454,0.0076435452845561,0.0184812735663463,0.0063127510050203,0.0191266837972774,0.033607597754648,0.0080059782131513,0.0201074454105688,0.0338747077957459
pokec_z,gat,tuned_nifa,0.0025949739858483,0.0050307843895927,0.0043900890656857,0.0290215243026834,0.0167664082929668,0.0187503732230538,0.0099681419399851,0.0159759151379216,0.0166329043262908,0.0132296512981026,0.0178315015907127,0.0177073949731374
pokec_z,gcn,tuned_nifa,0.0071291542410892,0.0033045952813451,0.0025077701664938,0.0362277901952453,0.0212072750801212,0.030503385373529,0.0078620849788459,0.0179840841695878,0.0249512981841056,0.0067808253064604,0.0153380678877951,0.028829916434715
pokec_z,gin,tuned_nifa,0.010580137717478,0.0152574490185258,0.0092605925421029,0.0272425561986309,0.0423432227360595,0.0340380552879338,0.0144985551898014,0.0410887973976355,0.040820106961802,0.0166868884127017,0.0416440112557542,0.0398708527367948
pokec_z,sage,tuned_nifa,0.0128567123866877,0.0212010681658935,0.024191661452858,0.0522286717901814,0.0944313195695737,0.0590232505793742,0.0212308904225817,0.0213783009634049,0.0262675697165677,0.015829809131599,0.0237953176666575,0.0270850512275683
pokec_z,sgc,tuned_nifa,0.0012605467081941,0.0020799393253809,0.0028331355865665,0.0114257355998217,0.0072592801510839,0.0056985810092451,0.004350509116461,0.0161447312961967,0.0282835768312923,0.0109402831735914,0.0181357466381301,0.0237429087157768
