dataset,encoder,attack_mode,selected
bail,gat,degree,1
bail,gat,uncertainty,0
bail,gcn,degree,0
bail,gcn,uncertainty,1
bail,gin,degree,1
bail,gin,uncertainty,0
bail,sage,degree,0
bail,sage,uncertainty,1
bail,sgc,degree,0
bail,sgc,uncertainty,1
german,gat,degree,0
german,gat,uncertainty,1
german,gcn,degree,0
german,gcn,uncertainty,1
german,gin,degree,1
german,gin,uncertainty,0
german,sage,degree,1
german,sage,uncertainty,1
german,sgc,degree,0
german,sgc,uncertainty,0
nba,gat,degree,1
nba,gat,uncertainty,0
nba,gcn,degree,0
nba,gcn,uncertainty,1
nba,gin,degree,1
nba,gin,uncertainty,0
nba,sage,degree,0
nba,sage,uncertainty,1
nba,sgc,degree,0
nba,sgc,uncertainty,1
pokec_n,gat,degree,0
pokec_n,gat,uncertainty,1
pokec_n,gcn,degree,0
pokec_n,gcn,uncertainty,1
pokec_n,gin,degree,1
pokec_n,gin,uncertainty,0
pokec_n,sage,degree,1
pokec_n,sage,uncertainty,0
pokec_n,sgc,degree,1
pokec_n,sgc,uncertainty,0
pokec_z,gat,degree,0
pokec_z,gat,uncertainty,1
pokec_z,gcn,degree,0
pokec_z,gcn,uncertainty,1
pokec_z,gin,degree,1
pokec_z,gin,uncertainty,0
pokec_z,sage,degree,0
pokec_z,sage,uncertainty,1
pokec_z,sgc,degree,0
pokec_z,sgc,uncertainty,1
