dataset,encoder,model,attack_mode,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,vanilla,none,0.9418414017993528,0.010481008422869455,0.8669837989374753,0.01723797523652188,0.9040474676838313,0.014456439591957821,0.0750779288748048,0.003704719849662215,0.05219476855029359,0.00962218313400513
bail,gat,vanilla,uncertainty,0.9402414838385786,0.009643011845866278,0.8653820664222541,0.01882673428092105,0.9007204916295825,0.01482161289129676,0.07083278217585469,0.004498176738959797,0.04328452680546023,0.008627526718183402
bail,gat,vanilla,ratio,0.9983012872892213,0.9200461880008916,0.9981525231299775,1.0921662215312322,0.9963199099901552,1.0252602514620603,0.9434567953249077,1.2141745992939055,0.8292886051166666,0.8966288209266587
bail,gcn,vanilla,none,0.9047864952108071,0.0013609024549648507,0.8086452184190863,0.006611186952455089,0.8511337147700784,0.008336012080325469,0.062429242163259555,0.002836907427979494,0.032345001143903,0.003794610070047784
bail,gcn,vanilla,uncertainty,0.9016646616034997,0.013096902383035689,0.8043256775877079,0.010957389166264117,0.8487391396482306,0.010226155422328964,0.06380635105951638,0.007863825490930424,0.0384557309540151,0.011504979341406235
bail,gcn,vanilla,ratio,0.9965496461056483,9.6236892918045,0.9946582991737425,1.657401196648213,0.99718660525333,1.2267443141624739,1.0220587155720315,2.771971130736264,1.1889234686660064,3.031926635155258
bail,gin,vanilla,none,0.8535745416670493,0.010489875133844341,0.7442040466355178,0.01828823126622604,0.7910998092816274,0.020788248603024154,0.09431185712272791,0.01284875675888701,0.06244490200564325,0.009313402030678063
bail,gin,vanilla,uncertainty,0.8662007955968202,0.010192544562981905,0.7517598777984953,0.028943260586213545,0.7969908878999789,0.03805881639439481,0.0893150813939779,0.01670875095190889,0.06788606726149624,0.008979727383108548
bail,gin,vanilla,ratio,1.0147922100688611,0.9716554709118382,1.0101529025502305,1.5826167202765409,1.0074466945248046,1.8307851287124897,0.9470185840763615,1.3004177186522008,1.0871354599189098,0.9641726356845328
bail,sage,vanilla,none,0.915550967634301,0.005805649243438788,0.8260085136502611,0.01643666258582445,0.8720067810976901,0.021974085333020112,0.02437416068301352,0.019273467041231954,0.014033401967513149,0.009327190348059459
bail,sage,vanilla,uncertainty,0.9170736772705428,0.004329954337676181,0.8202287054861117,0.015324755850739611,0.8671752489934308,0.0187847288048973,0.03811661941090371,0.022100566149877827,0.01959277053305882,0.00834099455494745
bail,sage,vanilla,ratio,1.0016631620631413,0.7458174195710578,0.9930027256757833,0.9323520374480532,0.9944592952612394,0.8548582805706039,1.5638125926308257,1.1466834743638925,1.3961525921095557,0.894266573715075
bail,sgc,vanilla,none,0.88765248428857,0.0015636559472076326,0.7873150039795429,0.0059329310512070575,0.8347955075227803,0.007318820901511875,0.043767235652891576,0.0038570871841986645,0.023687943262411325,0.006166315818248156
bail,sgc,vanilla,uncertainty,0.8869768468774586,0.004035585926676371,0.7852068362215704,0.009752391989001232,0.8328035600762874,0.01085091512141733,0.04408666136596954,0.005480896580821903,0.025235262716388297,0.007297958042100184
bail,sgc,vanilla,ratio,0.9992388491858355,2.5808656526284417,0.9973223325513719,1.6437730195797748,0.9976138498248465,1.4826042702009306,1.007298283940326,1.4209936978545625,1.0653209709613034,1.1835199910622687
german,gat,vanilla,none,0.566487619047619,0.028908377839253655,0.5521472116887732,0.17148756230550502,0.5187999999999999,0.0837529700965882,0.06126568466993998,0.04623957356379864,0.07636554621848739,0.03808566274968618
german,gat,vanilla,uncertainty,0.5735657142857142,0.04245354749886158,0.590143332592707,0.11759470278128117,0.536,0.07297122720634483,0.19282596835788324,0.14514536120702398,0.18266806722689075,0.15792846277305178
german,gat,vanilla,ratio,1.012494704209061,1.468555161930097,1.068815200184966,0.6857331295653166,1.033153430994603,0.8712673368143324,3.1473731077471063,3.1389857219760247,2.392022008253095,4.146664423592132
german,gcn,vanilla,none,0.7426971428571428,0.011760041340726722,0.7603773916005582,0.06890678776780369,0.69,0.0502553479741211,0.32043098745226406,0.0914229732964241,0.25819327731092434,0.09350840100138008
german,gcn,vanilla,uncertainty,0.7360228571428571,0.012630076187014727,0.6745598108747133,0.14125802886698047,0.6300000000000001,0.09483037488062565,0.25564648117839606,0.10027025387336122,0.19779411764705884,0.10962688331311528
german,gcn,vanilla,ratio,0.9910134490505647,1.073982294881477,0.8871381741832132,2.0499871412230086,0.9130434782608698,1.8869708141202877,0.7978207201838766,1.096773056682933,0.7660699755899106,1.1723746972370677
german,gin,vanilla,none,0.6833980952380952,0.026715822992862077,0.6241708656045063,0.22476029656991497,0.5971999999999998,0.11526734142852432,0.25038188761593017,0.10491290214925103,0.228781512605042,0.10853722761785659
german,gin,vanilla,uncertainty,0.6806704761904763,0.020726240753747717,0.6221709338669876,0.15351922460782078,0.5808,0.08595440651880507,0.21993998908892526,0.12484392940924571,0.20378151260504201,0.1281908603921785
german,gin,vanilla,ratio,0.996008740635034,0.7758039405817798,0.9967958585577656,0.6830353356473098,0.9725385130609513,0.74569609616705,0.8784181283364201,1.1899768937059851,0.8907254361799817,1.1810773428221277
german,sage,vanilla,none,0.6255085714285715,0.07248123619254848,0.5717136659433394,0.3285433845160603,0.574,0.17633831120888052,0.08284233496999455,0.07988873107484842,0.05031512605042019,0.065301082899637
german,sage,vanilla,uncertainty,0.6055238095238095,0.07502925566969997,0.4756987764982993,0.3216006483852733,0.5179999999999999,0.1700470523119998,0.06989907255864704,0.0703779188553795,0.05703781512605044,0.06036955796347692
german,sage,vanilla,ratio,0.9680503788155617,1.0351541945336389,0.8320577324549107,0.9788681298787569,0.9024390243902438,0.964322790358197,0.8437602897596314,0.8809492641639513,1.1336116910229643,0.9244801966953676
german,sgc,vanilla,none,0.6979123809523808,0.01189862302671918,0.6348553159630883,0.18580951047312014,0.5972000000000001,0.11738551869800636,0.2471085651936716,0.07968495409714978,0.18361344537815127,0.05721232801294888
german,sgc,vanilla,uncertainty,0.6808990476190477,0.03617856926933979,0.6007741295682549,0.16418629898143794,0.5732,0.09804570362846093,0.22167212220403712,0.10474145234569916,0.17626050420168066,0.07566934097238254
german,sgc,vanilla,ratio,0.9756225368718685,3.0405677352831764,0.9463166086226568,0.8836269928453943,0.9598124581379772,0.8352453072231142,0.8970636935644111,1.314444533882785,0.9599542334096108,1.322605522279329
nba,gat,vanilla,none,0.6394871794871795,0.0555116361572008,0.590631429891868,0.04001133509595602,0.6025316455696202,0.03358607382638381,0.1383572567783094,0.07003869706352253,0.21333333333333332,0.09333333333333332
nba,gat,vanilla,uncertainty,0.6505769230769232,0.03592083715267294,0.6384537727709338,0.03519265567475542,0.6253164556962025,0.024804959420589155,0.11754385964912281,0.06738243535061383,0.15666666666666668,0.059721576223896386
nba,gat,vanilla,ratio,1.0173416198877308,0.6470866225407301,1.0809681646772862,0.8795671424199082,1.0378151260504203,0.7385489458759964,0.8495677233429396,0.9620743699657981,0.7343750000000001,0.6398740309703185
nba,gcn,vanilla,none,0.6726282051282052,0.007144201291768324,0.6028538914465907,0.01773647226404782,0.6075949367088607,0.009805021129639038,0.3,0.03548026037922226,0.27999999999999997,0.059999999999999984
nba,gcn,vanilla,uncertainty,0.6755128205128205,0.011668779746648981,0.5970617774499754,0.021289363406553855,0.6088607594936708,0.021518987341772152,0.33891547049441784,0.07711039250312464,0.27666666666666667,0.12914247085207015
