dataset,encoder,model,attack_mode,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,vanilla,none,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051
bail,gat,vanilla,tuned_nifa,0.9358980157527558,0.008701838276666162,0.862272613287138,0.016891315906004605,0.9008688281415556,0.010925070372517243,0.07698035674746156,0.008039991753102455,0.05283764203462212,0.009937106221031484
bail,gcn,vanilla,none,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477
bail,gcn,vanilla,tuned_nifa,0.9010986904335528,0.0078008619881047465,0.796296800791702,0.013683862652799082,0.8388005933460478,0.014222587717851563,0.06448844438437627,0.005079887266875933,0.034645771371921,0.007257970076661999
bail,gin,vanilla,none,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678
bail,gin,vanilla,tuned_nifa,0.855276692977381,0.015996286483401533,0.7400535187947276,0.03525246386079255,0.783237974147065,0.046769727349330395,0.09800918324212873,0.013649188469805883,0.07054144741859225,0.006565488980016697
bail,sage,vanilla,none,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594
bail,sage,vanilla,tuned_nifa,0.920603525926538,0.009064764774082424,0.8316654395303293,0.01492422079207297,0.8758847213392669,0.013656580472467131,0.023138962855820067,0.017420832388776456,0.01324182109357126,0.011253806956931574
bail,sgc,vanilla,none,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481
bail,sgc,vanilla,tuned_nifa,0.8873625823836069,0.00654473233740585,0.7733148986858799,0.03325291225131795,0.8152998516634881,0.045492559622158285,0.04145102630315195,0.00629007891316175,0.020052619537863182,0.004267502315430135
german,gat,vanilla,none,0.566487619047619,0.0289083778392536,0.5521472116887732,0.171487562305505,0.5187999999999999,0.0837529700965882,0.0612656846699399,0.0462395735637986,0.0763655462184873,0.0380856627496861
german,gat,vanilla,tuned_nifa,0.5204342857142856,0.018811335994680507,0.6386016706014485,0.08048267287287637,0.5548,0.05431905742923012,0.46504364429896344,0.12060045094511321,0.5227941176470587,0.12620268289698744
german,gcn,vanilla,none,0.7426971428571428,0.0117600413407267,0.7603773916005582,0.0689067877678036,0.69,0.0502553479741211,0.320430987452264,0.0914229732964241,0.2581932773109243,0.09350840100138
german,gcn,vanilla,tuned_nifa,0.7238780952380951,0.01354136271977046,0.708893979429346,0.08696411945540737,0.6504000000000001,0.06679401170763737,0.4008046917621386,0.04233353094907428,0.34800420168067225,0.05374426313109401
german,gin,vanilla,none,0.6833980952380952,0.026715822992862,0.6241708656045063,0.2247602965699149,0.5971999999999998,0.1152673414285243,0.2503818876159301,0.104912902149251,0.228781512605042,0.1085372276178565
german,gin,vanilla,tuned_nifa,0.6740114285714285,0.01973636895202433,0.5780269602645627,0.15910508145473737,0.5644,0.09759426212641806,0.31050190943807965,0.11540789579925566,0.27373949579831935,0.11104208167297114
german,sage,vanilla,none,0.6255085714285715,0.0724812361925484,0.5717136659433394,0.3285433845160603,0.574,0.1763383112088805,0.0828423349699945,0.0798887310748484,0.0503151260504201,0.065301082899637
german,sage,vanilla,tuned_nifa,0.5774019047619048,0.1062053217724475,0.3449575477203317,0.34166077860935684,0.454,0.17242041642450584,0.09578559738134207,0.15115705704309618,0.09317226890756303,0.1522421244207141
german,sgc,vanilla,none,0.6979123809523808,0.0118986230267191,0.6348553159630883,0.1858095104731201,0.5972000000000001,0.1173855186980063,0.2471085651936716,0.0796849540971497,0.1836134453781512,0.0572123280129488
german,sgc,vanilla,tuned_nifa,0.6766171428571428,0.03315193220035264,0.7001348508215901,0.10678565721022547,0.6308,0.0738658243032595,0.2644571740316421,0.08079103339386168,0.2009453781512605,0.06706428930885183
nba,gat,vanilla,none,0.6394871794871795,0.0555116361572008,0.590631429891868,0.040011335095956,0.6025316455696202,0.0335860738263838,0.1383572567783094,0.0700386970635225,0.2133333333333333,0.0933333333333333
nba,gat,vanilla,tuned_nifa,0.6664743589743589,0.06383086651497533,0.5601620248252475,0.04277040252699089,0.5987341772151898,0.03883002949412144,0.2145135566188198,0.10573272579153327,0.16999999999999998,0.11967548714010827
nba,gcn,vanilla,none,0.6726282051282052,0.0071442012917683,0.6028538914465907,0.0177364722640478,0.6075949367088607,0.009805021129639,0.3,0.0354802603792222,0.2799999999999999,0.0599999999999999
