dataset,backbone,model,attack_mode,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,vanilla,none,0.0,0.0,0.9442600092447188,0.007854887279556,0.8686141578258357,0.014188861429120977,0.07560885527946559,0.006878711494592057,0.051101959887134916,0.00873618023320245
bail,gcn,vanilla,none,0.0,0.0,0.9021791956329418,0.0019612289940820443,0.8058109648871771,0.00948416969411712,0.06152425356503035,0.0017032181366430765,0.032868908716540836,0.0041861868867609725
bail,gin,vanilla,none,0.0,0.0,0.8639779879267647,0.01195479246991102,0.7603373807025657,0.019710324811284288,0.0883888852145057,0.018373336990208475,0.06320826660565854,0.007920684988285645
bail,sage,vanilla,none,0.0,0.0,0.921214371864219,0.004504590942519672,0.8148239027316644,0.03063416309419061,0.03356572409152473,0.028124062405298092,0.02005338213986122,0.012224566259874958
bail,sgc,vanilla,none,0.0,0.0,0.8925640376615147,0.0035653063209438803,0.7954776095528661,0.00804428839523399,0.04870955462641588,0.005545707157544703,0.028955235262716372,0.009919019370751469
german,gat,vanilla,none,0.0,0.0,0.5788761904761904,0.03096618124587501,0.6407708408570562,0.08316293511524686,0.051977632296781213,0.05006906358832457,0.055882352941176466,0.04995805386910069
german,gcn,vanilla,none,0.0,0.0,0.7449980952380952,0.009467778798332268,0.7358944253522471,0.08156420621472851,0.32180851063829785,0.04253348273077957,0.259453781512605,0.03765430321204815
german,gin,vanilla,none,0.0,0.0,0.6934247619047619,0.011933179948088833,0.7161481600062661,0.13617991839848903,0.16687124931805783,0.10431970105333922,0.14705882352941177,0.10152516061259204
german,sage,vanilla,none,0.0,0.0,0.6087390476190476,0.0676800223004847,0.4379364452954878,0.2757877126196538,0.078696126568467,0.09949042221220705,0.07121848739495798,0.08313038748467898
german,sgc,vanilla,none,0.0,0.0,0.6871161904761904,0.018657309997063626,0.7123777302243283,0.09768551643294757,0.2877114020731042,0.08390104449227216,0.2282563025210084,0.06193391687369565
nba,gat,vanilla,none,0.0,0.0,0.66,0.06041522986797285,0.5966295726337623,0.05660286827929513,0.1740829346092504,0.10895082852767006,0.22333333333333336,0.17
nba,gcn,vanilla,none,0.0,0.0,0.7279487179487178,0.0064879902199384476,0.6322133947113855,0.03212866723124732,0.2748803827751196,0.030558084692385423,0.2066666666666667,0.06110100926607787
nba,gin,vanilla,none,0.0,0.0,0.5681410256410256,0.0705868201449269,0.3990605804879396,0.24462603020853674,0.10893141945773525,0.09432716342797941,0.07333333333333333,0.06289320754704401
nba,sage,vanilla,none,0.0,0.0,0.6310256410256411,0.012734325683937443,0.5239159528320617,0.06329486937260613,0.11889952153110048,0.0767727250818218,0.11666666666666665,0.07490735018081411
nba,sgc,vanilla,none,0.0,0.0,0.7176282051282051,0.0010821758343675686,0.6304922109752531,0.01387077043632025,0.2685805422647528,0.03158901455371401,0.15666666666666665,0.04229525846816508
pokec_n,gat,vanilla,none,0.0,0.0,0.7598490264414723,0.0029302999977854232,0.653811495599338,0.019618087597010735,0.010098228451419444,0.005125038381622347,0.017650457198637375,0.012342711082368658
pokec_n,gcn,vanilla,none,0.0,0.0,0.7675027884516729,0.0017797970472384669,0.6787030149916985,0.013326695434589359,0.018019537367245913,0.01826615893150458,0.03848397314580554,0.021807651955129195
pokec_n,gin,vanilla,none,0.0,0.0,0.6996840858015682,0.011501020246651233,0.6141933875524019,0.037672405575927555,0.02142489618264012,0.015281548598790976,0.031677191864055626,0.015738065767539243
pokec_n,sage,vanilla,none,0.0,0.0,0.7301201185547049,0.007524732623788851,0.6604664418015751,0.01720245586269194,0.014466354957786693,0.012471616916474375,0.023610972767296855,0.010584940487114801
pokec_n,sgc,vanilla,none,0.0,0.0,0.7567101565835592,0.0018483154301541654,0.6598235029148815,0.03645112576741065,0.01566771347809399,0.011907699686023553,0.03479371277167958,0.015266534874477138
pokec_z,gat,vanilla,none,0.0,0.0,0.7885838027631479,0.0021627945607420943,0.7068822446087792,0.018978353254526917,0.038880534377841496,0.011526899458673062,0.03231428571428572,0.010571776056065131
pokec_z,gcn,vanilla,none,0.0,0.0,0.7840483321883825,0.0011535325114690126,0.7151248932913263,0.014009879660188412,0.0425042101355314,0.007798736822585659,0.019828571428571452,0.009823088171470824
pokec_z,gin,vanilla,none,0.0,0.0,0.7179545378215403,0.013921053547343703,0.6361200862957946,0.060243313854598496,0.0478682994280672,0.027688895611111115,0.05362857142857141,0.024090662091358135
pokec_z,sage,vanilla,none,0.0,0.0,0.7544132508968782,0.02025135797875254,0.6577051905023216,0.07074072904086665,0.0396565175050172,0.013527031194789065,0.04851428571428572,0.016337661511779164
pokec_z,sgc,vanilla,none,0.0,0.0,0.7779314556140753,0.0005046139627998971,0.7147794123107029,0.005321229533414879,0.03846261453451773,0.005711164827646774,0.03345714285714283,0.005151500672976142
